Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,E_Low,E_High,Ö,Öd,I,Im,Id
2022-01-28 ,1020.0,1062.0,941.0,988.0,2792,0.0,0.0,193.98,1.0,0.6237299035369774,0.37627009646302256,0.6105683961420565,-0.0153806280564894,0.47738815453864636,0.32175055409846587,1.1582264455863558,0.19751253236482805,0.40867870865155237,-0.9999999897852033,-0.23429829967903393,0.9999999982384066,938.2518830146453,1070.1851949901652,-0.24585965074979152,-0.5114123772129755,-2.0,0.34875711592754327,0.32931385596280605
2022-01-31 ,999.0,1136.0,981.0,1136.0,1435,0.0,0.0,193.97,1.0,0.5842469879518072,0.4157530120481928,0.5842469879518072,0.007181288967763193,1.0857616041653135,0.14189705446605583,1.1626472222022688,0.2583781956731552,-0.5596920567356977,0.9999999556775271,-0.16849397590361437,-0.9999999989673377,970.8304690835271,1137.7280117256048,0.9792925444109125,0.612576097580352,-1.0,-0.3262995689193547,0.3382965125402425
2022-02-01 ,1118.0,1163.5,1067.0,1133.0,1635,0.0,0.0,193.96,1.0,0.5395271210013909,0.4604728789986091,0.5392106463546545,-5.611384125471933e-06,1.4378639862242244,0.372644902793338,-0.12435499467126948,0.12435499442511565,0.5041124079367995,-0.999999860857976,-0.07873776735604543,0.9999999990599775,1059.028236975403,1171.8793393151934,0.3109621703422151,-0.3341651870343487,-2.0,0.34242009071726043,-0.337528342423449
2022-02-02 ,1119.0,1205.0,1111.0,1189.0,976,0.0,0.0,193.95,1.0,0.7346590909090909,0.2653409090909091,0.7346590909090909,0.001536324290495716,1.2422431553545052,0.09608871541828606,-0.09065988729295822,0.09065988711263034,-0.3896667345433212,0.999999351464936,-0.46931818181818175,-0.9999999988811554,1103.8286837329852,1206.278968003146,0.6626857967926606,0.17586181322522274,-1.0,-0.3331378072797154,0.3343598298183076
2022-02-03 ,1184.0,1245.0,1033.9000244140625,1044.0,2991,0.0,0.0,193.94,1.0,0.7346212121212121,0.2653787878787879,0.7113158975791608,-0.016753477979693326,-0.5710845880754393,0.571084586322307,0.3217505541005332,0.9694449978534794,0.53995051579968,-0.9999999453247264,-0.4459371097003729,0.9999999989242885,1025.7321006261448,1252.5252414048746,-0.8389025407774758,-0.7507941687850682,-2.0,0.33675118731641523,-0.3377789489984879
2022-02-04 ,1055.0,1141.0,1020.0,1113.0,909,0.0,0.0,193.93,1.0,0.8619111111111112,0.13808888888888882,0.8619111111111112,0.00911656393248348,0.24497866289383247,1.5227563929499013,1.0798406617405307,1.2120256556507734,-0.4469525654828403,0.9999999613452516,-0.7238222222222224,-0.9999999989867293,1014.6921534049181,1149.0839730989019,0.4630034301001637,0.6509529854388197,-1.0,-0.3227585797984702,0.3349444972980653
2022-02-07 ,1116.0,1123.0,1000.0,1002.0,1005,0.0,0.0,193.92,1.0,0.7915102040816326,0.20848979591836736,0.77157472334908,-0.00013202956921519837,0.5141461544684307,0.7853981629056449,0.47029202826606675,1.2131040159502462,0.7062776154373511,-0.9999998918754629,-0.5630849274307126,0.9999999991328703,992.7013627225381,1126.4000491464112,-0.8609015910835138,-0.6619525105918388,-2.0,0.33780505661203275,-0.32975488355744276
2022-02-08 ,1000.0,1044.0,1000.0,1038.0,440,0.0,0.0,193.91,1.0,0.791469387755102,0.208530612244898,0.791469387755102,0.002697947751076341,0.20320395019514206,0.7853981629008612,1.0199033907691424,1.3786569588822992,-0.7234348453678159,0.9999996466404026,-0.582938775510204,-0.9999999993005586,992.7013627225381,1047.9002991461361,0.6412865976082713,0.7510940943458926,-1.0,-0.3249377873307851,0.3302818182052515
2022-02-09 ,1044.0,1069.0999755859375,980.0,999.0,1547,0.0,0.0,193.9,1.0,1.0,0.0,0.9912615012261964,-0.0059425532982030314,0.24497866289593542,0.26224483369341084,0.3249347967383075,0.9444314579259957,0.6543397704876124,-0.9999998842659843,-0.9912615012261964,0.9999999992741918,970.8304690835271,1070.1851949901652,-0.4329503572248831,-0.5371184774165773,-2.0,0.3358620969308488,-0.3313714219714089
2022-02-10 ,965.0,1087.5,965.0,1018.0,6077,0.0,0.0,193.89,1.0,1.0,0.0,1.0,0.0033256637108726116,0.32175055410509285,0.21117553851868365,0.257141398992291,0.9763213210467864,-0.834056223704396,0.9999998921043939,-1.0,-0.9999999993281358,959.9404017514299,1092.5855670578173,-0.12458779610210949,0.1541812805613868,-1.0,-0.3304205002986674,0.3303999421308169
2022-02-11 ,1014.0,1014.0,932.0,954.0,2336,0.0,0.0,193.88,1.0,1.0,0.0,0.9848809189933262,-0.006417216654446714,0.14411856768200357,0.8323982891278651,0.31263226494658286,0.7419472675116957,0.8307432441097542,-0.9999998973609591,-0.9848809189933262,0.999999999399327,927.4537817704933,1014.6921534049181,-0.39140958886887206,-0.13341089638338127,-2.0,0.3347019818152952,-0.33314129861475805
2022-02-14 ,931.0,994.0,912.2999877929688,965.0,1454,0.0,0.0,193.87,1.0,1.0,0.0,1.0,0.00031043913220643994,0.3946818329279182,0.8429516630227524,0.4000747851414591,0.7454194757803578,-0.8524278224492142,0.9999998513598372,-1.0,-0.9999999994058832,905.9507900693428,1003.6818533977968,0.20840207646366768,0.29990583266626986,-1.0,-0.3282936395550908,0.33256124105698126
2022-02-15 ,992.0,1004.0,948.2000122070312,963.0,537,0.0,0.0,193.86,1.0,1.0,0.0,0.9995399968171046,-0.00022004885716914806,1.1750169150462542,0.8746900208830696,1.133102796058152,0.32175055410499864,0.927338419264563,-0.9999981149467377,-0.9995399968171046,0.9999999994381285,938.2518830146453,1014.6921534049181,-0.35248483922997215,-0.2804434578468199,-2.0,0.33417128261959256,-0.331497810685193
2022-02-16 ,944.0,972.0,854.0,878.0,2114,0.0,0.0,58.28998779296875,-1.0,0.3643124237060547,0.35631428870456744,0.6356875762939453,-0.016338382847410824,0.19378722802270187,0.9016470662374141,0.0665681637101567,1.0537105019320179,-0.888625059512757,-0.973421475196951,-0.2793732875893779,-0.999999999449328,852.7457029319808,981.7508457359002,-0.6084761193325665,-0.12799564005129718,-3.0,-0.33317999882805155,0.33123246108734167
2022-02-17 ,872.0,895.5,710.0,808.0,2521,0.0,0.0,58.27998779296875,-1.0,0.19823125099649233,0.19434461693591887,0.8017687490035077,-0.00032013253321168687,1.082462374961475,-1.0824623765212615,0.7853981629009205,-0.7853981639009204,-0.28924439060683094,0.9615652407576858,-0.6074241320675888,0.5088685068928505,708.1579594570934,905.9507900693428,0.009561774649263242,0.30901894699091487,-4.0,-0.19560918895310164,-0.33367564072382205
2022-02-18 ,803.0,839.0,630.0,659.0,1928,0.0,0.0,58.26998779296875,-1.0,0.15580210639831216,0.14767466811153304,0.8441978936016878,-0.0018044328703610822,0.9558880356491156,-0.9558880369835262,0.7853981629036982,-0.7853981639036983,-0.03428390425445632,-0.6986368299213087,-0.6965232254901548,0.7880624032393411,628.6192836786762,842.2009172691565,-0.7155119023021119,-0.3625368384756876,-5.0,-0.14005620486985873,0.06878540493747495
2022-02-22 ,644.0,644.0,487.0,498.0,1927,0.0,0.0,58.25998779296875,-1.0,0.12012368617106958,0.11111874280138706,0.8798763138289304,-9.36361939029179e-09,0.7853981629000123,-0.7853981639000124,0.93804749114487,-0.9380474924454479,-0.03210752929278073,0.9999890674095981,-0.7687575710275434,0.032780960021689426,486.114157495742,648.2836140586382,-0.8534145361697637,-0.06895131693382589,-6.0,-0.10531498472216926,0.027776492041621456
2022-02-23 ,493.0,568.0,453.1000061035156,500.0,2174,0.0,0.0,58.24998779296875,-1.0,0.13166814782234934,0.13166814782234934,0.8683318521776506,7.269655360290924e-06,0.7853981629040272,-0.7853981639040273,1.1512299460683604,-1.1512299477364687,-0.02531644966664647,0.9998626377207545,-0.7366637043553013,0.11826208547252363,449.6887129813703,570.5399078442679,-0.1673845330898026,0.34301500153998055,-5.0,-0.08409418834963168,0.017370610073844737
2022-02-24 ,455.0,548.0,401.0,548.0,3057,0.0,0.0,58.23998779296875,-1.0,0.132968008659746,0.132968008659746,0.867031991340254,0.001305064336390749,1.2042657835016808,-1.2042657852448104,0.7853981629070451,-0.7853981639070452,0.020442240213025722,0.9889202750730737,-0.734063982680508,0.999999978146228,396.39600752094054,551.4929637830182,0.9549576746355561,0.5611711038626794,-4.0,0.09098947867419341,0.010610398186268785
2022-02-25 ,548.0,619.0,526.0,573.0,707,0.0,0.0,58.22998779296875,-1.0,0.23962957939493312,0.23962957939493312,0.7603704206050669,0.00869302424956693,1.3101939338047341,0.4146248680383415,0.8768454514232616,0.24497866289345238,0.01886914237718572,0.7389371589100957,-0.5207408412101338,-0.04001634366875111,523.2250063601529,628.6192836786762,-0.05545168283768341,-0.5052046787366198,-3.0,0.11319324817183382,0.08754183351191255
2022-02-28 ,555.0,604.0,513.0,536.0,615,0.0,0.0,58.21998779296875,-1.0,0.26706416418793005,0.2629075862851923,0.7329358358120699,-0.00016157825825477003,1.309082822529812,1.107148716997662,1.3426936966191898,0.7853981629019126,0.20129391136713382,-0.9999998870643956,-0.4700282495268776,0.8285893798203435,504.58550720952775,609.1056107476331,-0.3988813304376658,-0.1717148237999912,-4.0,0.14421590082175922,0.011101884748820207
2022-03-01 ,537.0,579.0,406.0,418.0,3316,0.0,0.0,58.20998779296875,-1.0,0.267018292628297,0.24956490129851452,0.732981707371703,-0.05839514125828882,0.9594434012329245,1.288797546874038,0.3217505540994459,1.5241013217541808,-0.22400282256120954,-0.9944812907270271,-0.4834168060731885,-0.9999999976487004,405.16249908560815,580.1228458143887,-0.8532524522860158,-0.22718556092417497,-5.0,-0.14063371894550353,0.015511326324962701
2022-03-02 ,449.0,495.0,440.0,467.0,922,0.0,0.0,58.19998779296875,-1.0,0.2732393793097124,0.2732393793097124,0.7267606206902876,0.017667666659750097,0.4636476086055681,-0.46364760940556804,0.8553475478744029,0.890275100925285,-0.21010716806190693,0.9999999868529704,-0.45352124138057515,0.03200952469982876,431.74141767879433,495.328619432736,0.10898361143767517,0.4811180318618455,-4.0,-0.10384844124948811,-0.14242480988363138
2022-03-03 ,467.0,481.0,424.0,449.0,867,0.0,0.0,58.18998779296875,-1.0,0.29388882723721593,0.29125088471517274,0.706111172762784,-1.8572985911058866e-05,0.57133747927406,-0.5713374804437351,0.5123894598537644,0.785398162925226,0.18204460267503006,-0.9999999434588718,-0.41486028804761127,0.9999999974499668,422.83569913177473,486.114157495742,-0.17304240511616012,-0.14101300827691765,-5.0,0.11358416731639433,0.01839263884800771
2022-03-04 ,459.0,581.0,430.0,548.0,10439,0.0,0.0,58.17998779296875,-1.0,0.3324570731026786,0.3324570731026786,0.6675429268973214,0.0711749964111319,1.3447279378534394,0.24497866289392295,1.373400765023862,1.3352513422941543,-0.1825545146025695,0.9999999859537878,-0.33508585379464284,-0.9999999972572615,422.83569913177473,589.7449885120994,0.4997883141515521,0.3364153596338561,-4.0,-0.11011377912334512,0.10871630428294121
2022-03-07 ,537.0,537.0,412.0,431.0,1895,0.0,0.0,58.16998779296875,-1.0,0.3442011112009985,0.32257787404103555,0.6557988887990015,-0.05734793193727985,0.30805278066120606,0.4636476086079489,0.6610431673516484,1.464060653159002,0.3247066837121125,-0.9999999922192873,-0.33322101475796595,0.999999998028629,405.16249908560815,542.029634160598,-0.6224440454525969,-0.5611161798020745,-5.0,0.11517758803713339,-0.11184897321986972
2022-03-08 ,412.0,481.0,412.0,451.0,821,0.0,0.0,58.15998779296875,-1.0,0.34414193960336537,0.34414193960336537,0.6558580603966346,0.0035457690269611237,0.1973955596610071,-0.1973955600456225,0.8938814734420535,1.464060653159002,-0.284354734922559,0.9999999835779405,-0.31171612079326927,-0.9999999983581295,405.16249908560815,486.114157495742,0.13246601279233322,0.3774550291224651,-4.0,-0.10413094215627831,0.11264568358023926
2022-03-09 ,479.0,485.0,410.0,425.0,2174,0.0,0.0,58.14998779296875,-1.0,0.34005840814601607,0.33537627730146324,0.6599415918539839,-0.006057189788837426,0.3217505541024114,1.1383885462853343,1.343997473048595,1.4940244345324716,0.2172282648719856,-0.9999998958654396,-0.3245653145525207,0.9999999980063121,405.16249908560815,486.114157495742,-0.5098926617626042,-0.3211793372774687,-5.0,0.11218496571388674,-0.10965426509670585
2022-03-10 ,425.0,427.6000061035156,366.0,382.0,4387,0.0,0.0,58.13998779296875,-1.0,0.33999992861385236,0.33129557544868415,0.6600000713861476,-0.006062024303712933,0.785398162906159,-0.785398163906159,0.9167867033070438,-0.916786704566807,-0.28564948212013525,-0.000398913200119619,-0.3287044959374634,-0.9999999980114451,361.809631670918,431.74141767879433,-0.4225696358728987,0.04366151294485274,-6.0,-0.10958126578994312,0.10815795393508253
2022-03-11 ,383.0,387.0,365.0,383.0,800,0.0,0.0,58.12998779296875,-1.0,0.4844165649414062,0.4844165649414062,0.5155834350585937,0.0006251278135441986,0.7853981629097635,-0.7853981639097635,1.5461707666301758,-1.5461707686289632,-0.07354574335842072,0.999999850459533,-0.031166870117187495,0.5904970977513175,361.809631670918,387.6769375295948,0.6383900545757699,0.5304798452243343,-5.0,-0.08858172325597874,-0.11088311575191492
