Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,λ,E_Low,E_High,Ö,Öd,I,Im,Id
2023-11-29 ,9.630000114440918,10.079999923706056,9.600000381469728,10.0,167100,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.010101000370632515,0.1302110975658667,1.0714487957036176,0.16514867774386527,0.10150163691239716,-0.0,0.999999946523756,1.0,0.0,0.5038076925963774,7.527191608301172,10.866600371498011,0.480985747363913,0.05332221598370049,1.0,0.0,0.0
2023-11-30 ,9.789999961853027,10.199999809265137,9.609999656677246,10.149999618530272,74800,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.007444149943920075,1.4464387630848567,0.5880039792509569,0.7853981644599451,1.44645049863155,0.0,-0.15142932534920642,1.0,0.0,0.500168526752404,7.500885469843503,10.830600708624958,0.5911956178935248,0.05510493526480592,2.0,0.0,0.0
2023-12-01 ,10.220000267028809,10.25,10.029999732971191,10.06999969482422,15000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.003956475095091345,0.7853977098575842,0.9505451196355588,1.45230594046891,0.165148677638565,0.0,-0.9999999122855187,1.0,0.0,0.49838980963798873,7.487975605242223,10.812934125572943,0.5531165718413937,-0.01903952302606554,1.0,0.3344184715432631,0.0
2023-12-04 ,10.140000343322754,10.270000457763672,9.949999809265137,10.270000457763672,38900,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.009832879126798085,0.8003227691819004,1.2314966654312232,0.6162975982872437,0.32175055497899474,-0.0,0.9999999274802931,1.0,-0.0,0.5027967758162087,7.5198983946030395,10.856619570903888,0.648385895932278,0.047634662045442144,2.0,-0.33274573695717075,0.0
2023-12-05 ,10.5600004196167,10.5600004196167,10.128000259399414,10.170000076293944,61100,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.004892386441140513,1.4466120664555286,0.15656243622677937,0.7853981641110415,0.25172264468263256,0.0,-0.9999999320895147,1.0,0.0,0.5037156478235438,7.526528009286299,10.865692229075147,0.5833136034759904,-0.032536146228143825,1.0,0.33476099763773476,-0.33358210425021695
2023-12-06 ,10.329999923706056,10.449999809265137,10.199999809265137,10.210000038146973,7400,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0019627066549762102,0.29977463120823833,0.36120509527592987,0.7853981643680359,0.44118206699552537,-0.0,0.9999998541230819,1.0,-0.0,0.5073085041633769,7.552363651568032,10.901049142305203,0.5872714195684351,0.0019789080462223607,2.0,-0.33260564225536443,0.33375336729745275
2023-12-07 ,10.359999656677246,10.800000190734863,10.265000343322754,10.300000190734863,83800,0.0,0.0,0.22999977111816405,1.0,0.2705878445848153,0.7294121554151847,0.2705878445848153,0.0043881107549259765,0.7853981636910989,0.14888981433717718,1.1263777255877059,0.6794098740694309,0.0,0.3819041804388675,0.4588243108303694,0.0,0.5056992906356997,7.54080906260781,10.885236171190865,0.6500231807838909,0.03137588060772789,3.0,0.33362203318733613,-0.3336833199465496
2023-12-08 ,10.5,10.800000190734863,10.289999961853027,10.489999771118164,186500,0.0,0.0,0.21999977111816407,1.0,0.3273806452345372,0.6726193547654629,0.3273806452345372,0.009138988972194591,0.7853981636910989,0.2701529660527029,1.164787644682569,1.0945373723902234,0.236680175732405,0.35121186077542466,0.34523870953092567,0.9999999957748891,0.5049281013607765,7.53526195073271,10.877644782535912,0.768042722028562,0.05900977062233559,4.0,0.2003857368778888,0.3331138377213503
2023-12-11 ,10.265000343322754,10.5,10.020000457763672,10.420000076293944,37200,0.0,0.0,0.23499988555908202,-1.0,0.301282007705202,0.3008330763688671,0.6987179922947979,-0.0033476659653292116,0.19739556029859834,1.299848655992158,0.2186694699313302,1.34156248395074,0.2879914878782013,-0.9999999199145068,-0.39788491592593084,0.09779699497185126,0.5034487618351843,7.524603374639952,10.86305835000885,0.7345728623862993,-0.016734929821131395,3.0,0.14342647897472754,-0.06661814815472367
2023-12-12 ,10.170000076293944,10.40999984741211,9.96500015258789,10.390000343322754,117100,0.0,0.0,0.22499988555908204,-1.0,0.26946092847899805,0.2692885574591102,0.730539071521002,-0.001441601747538177,0.25367262653494893,0.7853981664688925,0.401225238308953,1.4640577676241835,-0.2864677909714509,0.39798648438121415,-0.46125051406189177,-0.9999999982592326,0.5012494116304955,7.508713700976167,10.841313435198092,0.7291525366185123,-0.0027101628838934744,2.0,-0.14264427567082225,-0.028479628951580627
