Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Wd,Yd,Pd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id,W_0,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12,W_13,Ds
2016-06-01 ,14608.0,14752.0,14160.0,14208.0,2931,0.0,0.0,0.0,319.64,1.0,0.3699537037037037,0.6306298516951943,0.36937014830480575,-0.005599104143337066,0.9272952173634872,1.107148716195653,0.4636476086023686,-0.46364760940236865,-0.017407035565879046,0.18554349028784753,-0.8191940357787131,0.2612597033903885,7.303667273590657,16583.117478653006,14393.508785353122,-0.08377605607262296,-0.00575519630810159,-0.00650531984287649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-02 ,14400.0,14560.0,13856.0,13856.0,2751,0.0,0.0,0.0,319.63,1.0,0.3444288793103448,0.656852907524547,0.34314709247545305,-0.012542759407069556,1.2722973933830417,1.4181469974234755,0.7853981628998521,1.1383885495774075,-0.17397404170334832,-0.07828350306873463,-0.38274209601994075,0.3137058150490939,7.3038906066671,16583.28690790169,14221.881305238343,-0.10287019366978241,-0.009547068798579722,-0.001895936245239066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-03 ,14096.0,14496.0,13712.0,13776.0,3369,0.0,0.0,0.0,319.62,1.0,0.2981529850746269,0.7021165856623747,0.29788341433762533,-0.0028951939779965257,1.0074800645895623,-1.007480066019265,0.785398162899093,-0.785398163899093,-0.37104264911601986,-0.09853430370633577,0.6249251156231951,0.40423317132474934,7.955978601817439,16606.991805941827,13888.962694548596,-0.09753118920165395,0.0026695022340642305,0.006108285516321976,-1.0,-0.9943343701482296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-06 ,13712.0,13952.0,13552.0,13616.0,2830,0.0,0.0,0.0,319.61,1.0,0.2663416666666667,0.7341687700940344,0.2658312299059656,-0.005841121495327103,1.1525719963831933,-1.1525719980532965,0.7853981629009205,-0.7853981639009204,-0.09276777781263176,0.13913743565169406,-0.33720476202138244,0.4683375401880688,8.45721821434628,16532.449923660304,13776.84368200144,-0.10291157831645367,-0.0026901945573998623,-0.0026798483957320464,-2.0,-0.9987122703697933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-07 ,13504.0,13664.0,13344.0,13632.0,2659,0.0,0.0,0.0,319.6,1.0,0.26282894736842105,0.7371710526315789,0.26282894736842105,0.0005871990604815032,0.7853981628983674,-0.7853981638983674,1.2847448841576938,-1.2847448859984583,-0.20319673863004098,-0.05521448040870461,0.9999998444383978,0.47434210526315784,8.575165925034739,16562.735365195942,13619.528977929487,-0.09691004560273579,0.00300076635685894,0.0028454804571294012,-1.0,-0.3324632001628179,-0.002188950110781851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-08 ,13616.0,13856.0,13520.0,13728.0,2031,0.0,0.0,0.0,319.59,1.0,0.277421875,0.7225781250000001,0.277421875,0.0035087719298245615,0.7853981628991844,-0.7853981638991844,0.9453112859001148,-0.9453112872145164,0.02387208096544911,0.11353440979774504,0.7132795039266733,0.4451562500000001,8.53123703301922,16534.341869587774,13640.272667922922,-0.0897955502101229,0.0035572476963064495,0.00027824066972375466,0.0,0.3334199003357911,0.3331245351034877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-09 ,14000.0,14160.0,13824.0,13968.0,2672,0.0,0.0,0.0,319.58,1.0,0.39164215686274506,0.6083578431372549,0.39164215686274506,0.008665511265164644,1.1071487169961738,0.4636476086028894,1.4056476484081415,0.4993467212237208,0.17697173149130588,0.07654982526292839,0.4235763887837066,0.21671568627450988,8.499161400601789,16559.79608907353,13623.114641699705,-0.07260389663927934,0.008595826785421777,0.002519289544557664,1.0,1.0015444236702726,0.3329415502493045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-10 ,14624.0,15312.0,14528.0,15232.0,5059,0.0,0.0,0.0,319.57,1.0,0.1623831300813008,0.8376168699186992,0.1623831300813008,0.04328767123287671,0.6747409417371996,0.2175541189016967,1.4758446194614099,0.2175541189016967,0.44771344068070573,0.13537085459469994,0.666410749766996,0.6752337398373984,8.409100356039778,15950.098489134383,13618.627344464032,0.032946719360585235,0.05277530799993228,0.022089740607255253,2.0,1.0037818539493848,0.33406226166724073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-13 ,15920.0,17536.0,15536.0,17504.0,7048,0.0,0.0,0.0,319.56,1.0,0.07957171314741036,0.9204282868525896,0.07957171314741036,0.06940371456500488,1.2490457714985148,0.08314123180575445,1.3734007657913367,0.13552771376655,0.9942739087200313,0.2732802340196628,0.2317483533942907,0.8408565737051792,8.706916746504994,15859.767793861867,13644.73232616609,0.1738598701972213,0.07045657541831803,0.008840633709192872,3.0,0.3392638742566247,0.0011187151395560813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-14 ,17824.0,18080.0,16864.0,17120.0,9172,0.0,0.0,0.0,319.55,1.0,0.07508223684210527,0.9252649888921961,0.07473501110780391,-0.011090573012939002,1.4632986517808015,0.03997868708337189,1.4430275114103643,0.08802590317687488,0.9999288564155251,0.0028274738477468975,-0.9999999875767583,0.8505299777843922,9.02273502519873,17462.5361323429,13628.937070726963,0.10412084478952996,-0.03486951270384567,-0.05266304406108185,2.0,0.20543334862917545,-0.33225898984638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
