Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Wd,Yd,Pd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id,W_0,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12,W_13,Ds
2016-07-01 ,1.333368897438049,1.3352025747299194,1.3247840404510498,1.3328713178634644,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0051176100901467805,0.8318027762641134,0.7853982292661639,0.6525912193184721,1.303138990010467,0.09925661894667143,0.0017002210630764972,-0.9999998936342627,1.0,10.666233284335858,1.4364004962235204,2.1916207317310525,-0.2860553287512134,-0.012766352516885737,-0.007077823557362528,-1.0,1.001883208813309,0.33304783648111536,-0.01000000000014938,-0.004950000000073197,-0.0032835000000483072,-0.0024544162500359868,-0.001958624167528644,-0.0016289224326612737,-0.0013938921959486838,-0.0012179133062101366,-0.001081236368513201,-0.0009720314952933516,-0.0008827813307254943,-0.0008084805687227542,-0.0007456678476142847,-0.0006918732386078177,0.00020781673113727916
2016-07-04 ,1.3285329341888428,1.333031177520752,1.3245383501052856,1.3289920091629028,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0014573658463882119,0.4636476365950257,-0.46364763739502574,1.2719363181009926,1.4972611111387502,-0.14163279415578486,-0.12044470655122815,0.5566930924760801,1.0,9.46794988429314,1.472054874099451,2.0949700757851053,-0.27867851688062484,0.003688405935294292,0.008227379226090015,-2.0,-0.9977155984960768,0.33395553320610516,-0.01000000001825646,-0.004950000008945666,-0.003283500005903835,-0.0024544162543981307,-0.0019586241710007465,-0.0016289224355429946,-0.0013938921984104,-0.001217913308357906,-0.0010812363704174926,-0.0009720314970033518,-0.0008827813322768853,-0.0008084805701422377,-0.0007456678489223592,-0.0006918732398205594,0.00017421533113415864
2016-07-05 ,1.3281975984573364,1.328233003616333,1.30218505859375,1.3279860019683838,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0003786283478088348,0.4636477928139758,-0.4636477936139763,1.3482478142711956,1.4422745784176019,-0.042883141650938476,0.04937482625242319,0.5875491951116745,1.0,9.811343215883877,1.443110052589542,2.123510221611078,-0.27627200355364173,0.0012032566634915531,-0.0012425746359013695,-3.0,-0.33311776656556,-0.9997994036546929,-0.010000000249892824,-0.004950000122447484,-0.003283500080811175,-0.0024544163102012224,-0.0019586242154179074,-0.0016289224724076517,-0.001393892229902111,-0.001217913335833429,-0.0010812363947783055,-0.0009720315188786773,-0.0008827813521231892,-0.0008084805883011042,-0.0007456678656560158,-0.0006918732553346649,0.00013450283723627133
2016-07-06 ,1.2963778972625732,1.3013547658920288,1.2828078269958496,1.2957899570465088,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.012270881898759045,1.3593530295603575,-1.3593530314722657,0.7853981852655183,-0.7853981862655183,-0.009903788050882595,0.01648967680002794,-0.940135418605748,1.0,9.421028443709469,1.4696190732422172,2.09101379515841,-0.3022056109764625,-0.012966803711410374,-0.007085030187450964,-4.0,-0.19996645590184028,0.3322989159652584,-0.010000000029389942,-0.004950000014401072,-0.003283500009504218,-0.0024544162570802773,-0.0019586241731356343,-0.0016289224373148752,-0.0013938921999240327,-0.0012179133096785028,-0.0010812363715883826,-0.0009720314980547782,-0.0008827813332307879,-0.0008084805710150346,-0.000745667849726654,-0.0006918732405662373,0.000356484166438739
2016-07-07 ,1.292056441307068,1.304767608642578,1.2909055948257446,1.292590856552124,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0012359466109382287,0.785398181499858,-0.785398182499858,0.9461634321718768,-0.9461634334878959,-0.28479863989250814,-0.13744742592081277,0.8169893075127844,1.0,8.85760259678392,1.439717272082199,2.0423809495959433,-0.2826328873258411,0.009786361825310702,0.011376582768360538,-5.0,-0.14206565232698518,0.06657565533185987,-0.010000000034257672,-0.0049500000167862586,-0.00328350001107836,-0.002454416258252953,-0.00195862417406904,-0.0016289224380895686,-0.001393892200585816,-0.0012179133102558878,-0.0010812363721003134,-0.0009720314985144777,-0.0008827813336478485,-0.0008084805713966344,-0.0007456678500783039,-0.0006918732408922587,0.0002450130872547268
2016-07-08 ,1.2911889553070068,1.3012022972106934,1.290988802909851,1.2915725708007812,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0003940485112374867,0.7853981842054207,1.2877245665363724,1.1227197734099819,0.9666859685013862,-0.03062194391400769,0.12708834798925023,0.5165031304350456,1.0,9.26513914066336,1.4614679521660752,2.0777687461825622,-0.29950746545076656,-0.008437289062462744,-0.009111825443886723,-6.0,-0.11105019455584965,0.028950401787427554,-0.010000000021310304,-0.0049500000104420495,-0.0032835000068913976,-0.0024544162551338265,-0.0019586241715863328,-0.00162892243602901,-0.0013938921988255796,-0.001217913308720137,-0.0010812363707386602,-0.0009720314972917513,-0.0008827813325385347,-0.0008084805703816403,-0.0007456678491429722,-0.0006918732400250942,0.00020016932396294614
2016-07-11 ,1.2944648265838623,1.30143940448761,1.2853800058364868,1.2946157455444336,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.001176702688052098,0.8082481045136389,-0.808248107650691,0.7853982075552332,1.5485046855753994,-0.011312401956699459,0.009654770978654116,0.999999363362343,1.0,9.493754161515389,1.4733910055792374,2.0971399122237155,-0.30585658076175315,-0.003174557655493293,0.0026313657034847254,-5.0,-0.09089322223594011,0.015507728885567763,-0.01000000000003041,-0.004950000000014901,-0.003283500000009834,-0.002454416250007326,-0.001958624167505831,-0.0016289224326423398,-0.0013938921959325095,-0.0012179133061960249,-0.0010812363685006891,-0.0009720314952821163,-0.0008827813307153011,-0.0008084805687134277,-0.0007456678476056903,-0.0006918732385998496,0.00014184912889244017
2016-07-12 ,1.298515796661377,1.3246086835861206,1.2979259490966797,1.2981113195419312,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0013482228980323154,0.8434862892251727,1.4446472655949203,0.32175060758404606,1.140816046556798,0.035791312203312116,0.02355185708000579,0.06793077110657952,1.0,9.410126202098951,1.469051955213611,2.0900925554384067,-0.3000024301383545,0.002927075311699334,0.0030508164835963136,-4.0,0.0909563564693454,0.01007848615995477,-0.0100000234692416,-0.004950011499928109,-0.003283507589561307,-0.002454421903931719,-0.0019586286678168275,-0.00162892616773974,-0.00139389538664734,-0.001217916089993905,-0.001081238836718637,-0.0009720337116724692,-0.0008827833415268248,-0.000808482408555129,-0.0007456695430462714,-0.0006918748104764832,0.00010252637022783298
2016-07-13 ,1.327069640159607,1.3336178064346311,1.317748785018921,1.3278273344039917,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.011316340089440834,1.4156260041988387,0.19739556795768853,1.389000222024851,0.3538089004788372,0.04860257651924375,0.006405632157965815,0.7870872776408445,1.0,9.717668654993176,1.438502251207089,2.1157956636895796,-0.2729726822007772,0.013514873968788643,0.0052938993285446545,-3.0,0.1111772821881281,0.09092478935264275,-0.010000061621664565,-0.004950030194613738,-0.0032835199274174123,-0.002454431095160525,-0.0019586359836888728,-0.0016289322396521777,-0.0013939005735912897,-0.00121792061543858,-0.0010812428491448842,-0.0009720373147184526,-0.0008827866103762531,-0.0008084853994696868,-0.0007456722992170254,-0.0006918773657771137,-0.00011804250846282331
2016-07-14 ,1.3121120929718018,1.3400874137878418,1.3109252452850342,1.3119744062423706,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.006005348021984205,1.491019406692567,0.2684018979514331,1.1976887097727031,0.12435500063252987,0.3998875769478524,0.1756425002143043,-0.9999999422689096,1.0,9.809899311794851,1.4430389342124428,2.12339170467064,-0.2883497830194858,-0.007688550409354289,-0.010601712189071466,-4.0,0.14355956594547023,0.01011046285939135,-0.010000000000953795,-0.004950000000467359,-0.003283500000308441,-0.002454416250229777,-0.001958624167682894,-0.0016289224327892954,-0.0013938921960580466,-0.001217913306305552,-0.0010812363685978,-0.0009720314953693191,-0.0008827813307944154,-0.0008084805687858153,-0.0007456678476723966,-0.0006918732386616943,9.941630027384199e-05
2016-07-15 ,1.3357733488082886,1.348126769065857,1.3201146125793457,1.3357912302017212,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.008995064982917526,0.9445309544043708,0.19828836922487522,0.18825090114854007,0.19739557445127334,-0.30473621940226875,-0.3523118981750606,0.9999999333351733,1.0,8.922796311724767,1.3090832186118062,2.048118357832998,-0.20360048017163998,0.042374651423922896,0.025031600916638592,-3.0,-0.14247364273783497,0.016191141878671066,-0.010000000013110315,-0.004950000006424054,-0.003283500004239657,-0.002454416253158382,-0.001958624170013953,-0.001628922434723991,-0.0013938921977107645,-0.0012179133077474963,-0.0010812363698762808,-0.0009720314965173587,-0.00088278133183597,-0.0008084805697388112,-0.0007456678485505959,-0.0006918732394758903,-0.0001609213433206608
