Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Low_High_Avg,RV,Sd,Rs,G,Rf,Sf,R*,Ss,P↑,P↓,Y_High,Y_Close,Y_Low
2020-12-15,14.75,14.890000343322754,14.229999542236328,14.81999969482422,10685400,0.0,0.0,14.55999994277954,0.09363320905410309,-1.0,-0.600000381469723,0.0,0.2199993133544922,0.0,0.07999992370605646,2.0,0.5,0.5,-0.021090158179980837,0.01530804524442321,-0.02064917007286875
2020-12-16,14.529999732971191,14.720000267028809,14.260000228881836,14.649999618530272,10120200,0.0,0.0,14.490000247955322,0.08766326417590328,-1.0,-0.7700004577636719,0.0,-0.17000007629394887,0.0,0.07999992370605646,2.0,0.5,0.5,-0.010875243923317042,-0.010926908269767862,0.001994651627825616
2020-12-17,14.670000076293944,14.729999542236328,14.229999542236328,14.279999732971191,16570100,0.0,0.0,14.479999542236328,0.13990855068411231,-1.0,-1.1400003433227521,0.0,-0.5399999618530291,0.0,0.07999992370605646,2.0,0.5,0.5,0.00111185782003352,-0.04188120759527742,-0.003448297908965244
2020-12-18,14.289999961853027,14.479999542236328,14.220000267028809,14.350000381469728,9831800,0.0,0.0,14.349999904632568,0.08342109326600086,-1.0,-1.0699996948242152,0.0,0.07000064849853693,0.0,0.07999992370605646,2.0,0.5,0.5,-0.010156553653337017,0.0029014735470514357,-0.0004170846007364742
2020-12-21,14.010000228881836,14.289999961853027,13.880000114440918,14.239999771118164,8554600,0.0,0.0,14.085000038146973,0.07202787774786219,-1.0,-1.1800003051757795,0.0,-0.11000061035156428,0.0,0.07999992370605646,2.0,0.5,0.5,-0.011492366168743577,-0.006695416601474038,-0.021055688827309002
2020-12-22,14.399999618530272,14.399999618530272,13.859999656677246,13.880000114440918,6052600,0.0,0.0,14.12999963760376,0.04967322672447919,-1.0,-1.5399999618530256,0.0,-0.47000026702881037,0.0,0.07999992370605646,2.0,0.5,0.5,0.005425416071472313,-0.018115863253563205,-0.0010202479818656983
2020-12-23,14.039999961853027,14.59000015258789,14.0,14.470000267028809,8588200,0.0,0.0,14.295000076293944,0.07347872601081723,1.0,0.5900001525878906,0.3000001907348633,0.5900001525878906,0.25854658974052114,-1.5399999618530256,0.14677862932161778,0.2952412470709256,0.7047587529290744,0.018599307796234303,0.059059426671968215,0.01426061206259793
2020-12-24,14.600000381469728,14.600000381469728,14.239999771118164,14.43000030517578,4380100,0.0,0.0,14.420000076293944,0.037371565864046656,1.0,0.5500001907348615,0.0,-0.03999996185302912,0.0,-1.5399999618530256,0.12755111519425974,0.5,0.5,0.0003494521437062798,-0.001411801365529467,0.008668780581230894
2020-12-28,14.600000381469728,14.970000267028809,14.56999969482422,14.8100004196167,7898700,0.0,0.0,14.769999980926514,0.06916742679321568,1.0,0.9300003051757812,0.0,0.38000011444091975,0.0,-1.5399999618530256,0.36469076171173104,0.09117269042793276,0.9088273095720673,0.04512859833163074,0.04687140127593655,0.04131161548602192
2020-12-29,14.970000267028809,15.079999923706056,14.649999618530272,14.68000030517578,6338900,0.0,0.0,14.864999771118164,0.05502130593928986,1.0,0.8000001907348615,0.0,-0.13000011444091975,0.0,-1.5399999618530256,0.26986015216832826,0.5,0.5,0.005875368730810259,-0.007075501516729853,0.004394380394595499
2020-12-30,14.649999618530272,14.920000076293944,14.59000015258789,14.859999656677246,6295300,0.0,0.0,14.755000114440918,0.05531286571582195,-1.0,0.17999935150146662,0.0,0.17999935150146662,0.0,-1.5399999618530256,0.013661565249655274,0.0034153913124138186,0.9965846086875861,-0.010593289470975244,0.012102998408676903,-0.0040757031589101446
2020-12-31,14.779999732971191,14.789999961853027,14.449999809265137,14.539999961853027,7854700,0.0,0.0,14.619999885559082,0.06752816319410457,-1.0,-0.14000034332275213,0.0,-0.31999969482421875,0.0,0.17999935150146662,0.6049455975467241,0.848763600613319,0.15123639938668101,-0.010919034777639962,-0.027160978161430212,-0.012030277804235238
