Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,λ,E_High,E_Low,Ö,Öd,Ödd,I,Im,Id
2025-12-15 ,8.800000190734863,8.800000190734863,7.23199987411499,7.235000133514404,388900,0.0,0.0,0.3300005340576172,-1.0,0.10703878219211792,0.10201411588076584,0.8929612178078821,-0.09250548063674821,0.06656816375390737,-0.06656816388665074,0.06910627574791273,1.556062070310606,-0.12707483805197486,-0.053213084719336216,-0.7909471019271163,-0.9999999962946353,5.696417707319735,6.344327874530408,12.689696593000676,-0.21524539041999158,-0.08437970896509861,0.0007601767631921774,1.0,0.0,0.0
2025-12-16 ,6.869999885559082,7.559999942779541,6.849999904632568,7.354000091552734,252900,0.0,0.0,0.3200005340576172,-1.0,0.09275377029581178,0.09275377029581178,0.9072462297041882,0.008156827486633508,0.785398163300674,-0.7853981643006741,1.2719574914077814,-1.2719574932344262,-0.09772758141088644,0.9999999900657951,-0.8144924594083764,0.13054688904444764,4.97219469962108,6.023301304537299,12.07076400147532,-0.14796651923569942,0.03363943559214608,0.059009572278622344,2.0,0.0,0.0
2025-12-17 ,8.260000228881836,8.819999694824219,7.090000152587891,7.150000095367432,696200,0.0,0.0,0.009999504089355469,1.0,0.0029042994974721277,0.9970957005025278,0.0028858032314527373,-0.014065085049383252,0.7853981632368915,0.37158068228447877,1.4271892245921358,1.1161498425694925,0.011629436080122783,-0.9999999549993749,0.9942098972710751,0.9999999908556395,4.983050489379645,6.02835053411642,12.080491779781944,-0.176920295945939,-0.014476888355119788,-0.024058161973632933,1.0,0.33452095389958525,0.0
2025-12-18 ,7.630000114440918,8.1899995803833,7.400000095367432,7.5,201000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.023890778317690525,0.4668170909601632,0.7893509914681286,0.7853981632911491,0.7973498686417475,-0.0024347631453153517,0.9999999736536102,1.0,-0.9999999288974856,5.004826213746133,6.038455339121808,12.099960260113924,-0.13077218395435888,0.023074055995790058,0.018775472175454923,2.0,-0.3312104729664822,0.0
2025-12-19 ,7.739999771118164,8.239999771118164,7.639999866485596,7.980000019073486,174800,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.031007753131916043,0.6176352707466238,1.332681712191028,0.7853981633828852,0.7093127134340859,0.0,0.12963870793374044,1.0,0.9999995892825998,5.602563149249247,6.304417846750811,12.6127029207781,-0.11103913993238373,0.009866522010987575,-0.0066037669924012415,3.0,0.33672042906833494,-0.3328657134330337
2025-12-22 ,8.319999694824219,8.479999542236328,7.960000038146973,8.0600004196167,332000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.004987556007183355,0.8069773492784982,0.4580770349482193,0.7853981636016736,0.35419650256566826,0.0,-0.7228774255362954,1.0,0.0,5.742442066942822,6.363729330455333,12.727130252288505,-0.11026165817036843,0.00038874088100765425,-0.00473889056498996,4.0,0.20260522694603636,0.3339654510174086
2025-12-23 ,7.659999847412109,8.460000038146973,7.659999847412109,7.941999912261963,153700,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.007374109792990041,1.4382481245825198,0.9380472171038352,0.4636476099341386,1.5042282677396162,0.0,-0.9999999191047603,1.0,0.0,5.798389973065515,6.387166692236955,12.77235498565711,-0.12862179905533222,-0.009180070442481897,-0.0047844056617447756,3.0,0.14316999888931053,-0.06705760106114929
2025-12-24 ,7.909999847412109,7.909999847412109,7.533999919891357,7.670000076293945,100700,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.017422485022252247,0.16514867754730486,1.004067389875553,0.6289540059952998,1.2204209555941814,-0.0,-0.4052320449198733,1.0,-0.0,6.198372413981421,6.550241539493898,13.087145503180572,-0.1882495818656216,-0.02981389140514469,-0.010316910481331397,2.0,-0.1423851984303802,-0.029717614028362913
2025-12-26 ,7.510000228881836,7.574999809265137,7.190000057220459,7.239999771118164,40400,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.028839725659045884,0.1456561376605979,1.5272196494157677,0.14189705487114085,1.243822540912676,-0.0,-0.24679409439927727,1.0,0.0,6.503567172901192,6.669749353119873,13.317966898974273,-0.2637269748302472,-0.0377386964823128,-0.003962402538584056,1.0,-0.19841389054986444,-0.14277759865984535
2025-12-29 ,6.849999904632568,7.295000076293945,6.710000038146973,6.840000152587891,305300,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.028409063970008027,1.0427223108945487,-1.0427223123867773,0.785398163939115,-0.785398164939115,-0.0,0.0075226338286925295,1.0,0.0,5.989598918228253,6.4660813846192235,12.924661283836231,-0.29006598582912796,-0.013169505499440376,0.012284595491436213,0.0,-0.3288795052645475,-0.028014346059742123
