Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,Yd,Ydd,ϴ1,ϴ2,ϴ3,ϴ4,W,Wd,Pd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id,M,Mσ,R
2016-05-26 ,26.409253526759237,26.75317039007952,26.11963896264974,26.155839920043945,3638500,0.0,0.0,0.3210657581573216,1.0,0.12853269090027586,0.8716306804660381,0.12836931953396194,-0.0032765378066178003,-0.0011217572318041062,2.7263100022519563e-05,1.2607415990725968,0.11947479927041121,1.5182552083717145,0.03844259002398124,-0.5014812047477748,-0.7495209290592753,0.7432613609320762,8.800012558251119,23.359870884508243,32.752477481379124,-0.055926629643354535,0.0,0.0,0.0,0.0,0.0,-0.008448037285798739,-0.008448037285798739,1.0119788636030789
2016-05-27 ,26.155845141844164,26.563116782830942,26.12869484993792,26.38210678100586,2505300,0.0,0.0,0.31106575815732157,1.0,0.1857844225532568,0.8142155774467432,0.1857844225532568,0.004306732089272777,-0.0006013591458497134,2.4765982573606033e-05,0.9988649953882218,1.5133948091340352,1.2183255333161962,0.7853981635324604,-0.2182213052385002,0.1416299497546373,0.6284311548934864,9.430320342293468,23.9360966376371,33.55357969378496,-0.07157959014949504,0.0,0.0,1.0,-0.9985417562368026,0.0,0.010371020955255682,-0.005938829520324817,1.7762157499468725
2016-05-31 ,26.5269140919702,26.59931774745237,26.282552833617444,26.38210678100586,2270100,0.0,0.0,0.30106575815732156,1.0,0.3394391800351618,0.6605608199667194,0.3394391800332806,0.0,-0.0008812586249728609,2.068076895936274e-05,1.1232894964455484,0.785398163213138,1.4010185654681198,1.5479295021066897,0.283694868372753,0.2509580868056266,0.32112163993343884,9.38288113121623,23.89366168585519,33.49457925921675,-0.06981241054515948,0.0,0.0,2.0,1.0018931691762158,0.0,0.0,-0.005146985584281508,0.0
2016-06-01 ,26.18299685893071,26.545015132178985,26.038189549631404,26.391157150268555,1532800,0.0,0.0,0.08050530030651416,-1.0,0.11259784284017618,0.11259784284017618,0.8874021571598238,0.00017149534799442063,-0.0006010069639141132,2.235653497351132e-05,0.07394159553917304,0.1561302438507656,1.396122999610661,0.0370201160773362,0.0,-0.1418474341863765,-0.7748043143196477,9.727493539771848,24.19865333403062,24.19865333403062,0.08673201335245169,0.0,0.0,3.0,0.3333333332222222,1.0002174627065092,0.00045119763363221877,-0.004400561155226345,0.10491599057576281
2016-06-02 ,26.354960199489017,26.436412812914384,25.974840523132553,26.282556533813477,1870800,0.0,0.0,0.07050530030651415,-1.0,0.11290291712929745,0.11281118535066494,0.887188814649335,-0.002061761149145958,-0.0005186508782823901,2.0596882396240224e-05,1.3656325851095708,0.7853981632167878,0.8182211275442421,1.0748576591293122,0.0111207250258003,0.00556036251290015,-0.77437762929867,10.470774890308473,24.832169943791676,24.832169943791676,0.05676548175246947,0.0,0.0,2.0,0.20001517974471242,-0.33427991797699685,-0.005422910631879244,-0.004536874418780065,1.2222366738453447
2016-06-03 ,26.2373025973553,26.2373025973553,25.62187058928175,26.08344459533691,2321200,0.0,0.0,0.06050530030651416,-1.0,0.06190135170043902,0.061802990055266335,0.9381970099447337,-0.0038023132219986745,-0.00024743972526492463,1.9507339491046276e-05,1.0899226499952612,0.7853981632405888,1.275374955121026,1.095619868941914,-0.13134235692606563,-0.07123154097593297,-0.8763940198894673,10.76079793433457,25.071026747688325,25.071026747688325,0.039587939814534664,0.0,0.0,1.0,-0.19981684082450432,-0.06665907673875489,-0.01071683128536985,-0.005360868667658703,2.037083980303821
2016-06-06 ,26.192047516303433,26.309702807700937,25.983885498847407,26.12869453430176,1871800,0.0,0.0,0.05050530030651416,-1.0,0.054710067556708195,0.054710067556708195,0.9452899324432918,0.0008666555272232533,3.886124703647174e-05,1.633131564098242e-05,0.6684754329929409,0.7853981632948985,0.41911559398839865,1.3135212480725147,-0.22509175267136516,-0.046874697872649765,-0.8905798648865837,10.888837918539531,25.175080152013212,25.175080152013212,0.037179495473851916,0.0,0.0,2.0,-0.3327687729030714,-0.19991601028460837,0.0024673334498095294,-0.004317108385329606,0.5850770775522016
2016-06-07 ,26.210144994592184,27.08804117702652,26.083439040937396,26.77127456665039,3046700,0.0,0.0,0.040505300306514155,-1.0,0.02762659450754538,0.02762659450754538,0.9723734054924547,0.012147077649938805,-0.0001765416458367076,1.2039333945056701e-05,1.0873337766543971,1.0303937138297843,1.4219014770927265,0.3217505549253374,0.057396313118577895,0.14124403289497153,-0.9447468109849093,10.50645211365073,24.86179472151181,24.86179472151181,0.07399719153386743,0.0,0.0,3.0,0.3334610406052682,-0.06647596603928353,0.03596676865216565,0.0010540752196697616,31.16501250452075
2016-06-08 ,26.852738613289308,27.12425196267449,26.6988805883071,26.925142288208008,2587500,0.0,0.0,0.03050530030651416,-1.0,0.02030463159805149,0.02030463159805149,0.9796953684019485,0.0028655119013531604,-0.0011883973673533904,1.1761547740320058e-05,1.2986469696172636,0.029403288212374,0.5217251706870966,0.2260205926420474,0.6423948166730106,0.29249925177721636,-0.959390736803897,9.882293605723307,24.333253199286542,24.333253199286542,0.10121664834674574,0.0,0.0,4.0,0.20105411626641337,0.33311490675416977,0.008577141882589717,0.0020571507747257555,3.9761438945685903
2016-06-09 ,26.78937892160753,26.85273190555603,26.554066605342136,26.635520935058594,1367300,0.0,0.0,0.02050530030651415,-1.0,0.017981325264247203,0.017938681790267783,0.9820613182097322,-0.005407351883268006,-0.0006621997245944624,2.140852703674806e-05,1.2617183558631153,0.42057746845762223,1.2712801289399014,0.026309717269354223,0.1982613608302556,-0.2220667279213775,-0.9641226364194644,9.402034958401009,23.910812645796423,33.51842540797487,-0.06096733573020952,0.0,0.0,3.0,0.14303751700011672,-0.06620346216942742,-0.016242621866624698,-0.000382818910787638,57.43117325991293
