Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Low_High_Avg,RV,Sd,Rs,G,Rf,Sf,R*,Ss,P↑,P↓,Y_High,Y_Close,Y_Low,cos_θ1,sin_θ1,cos_θ2,sin_θ2,cos_θ3,sin_θ3,cos_θ4,sin_θ4,E_Low,E_High
2015-12-28 00:00:00,15.998247743508786,15.998247743508786,15.76551949261959,15.868687629699709,30000,0.0,0.0,0.0,15.881883618064188,0,-1.0,-0.20394039154052557,0.0,-0.20394039154052557,0.0,0.6566781997680664,0.09644979294563216,0.975887551763592,0.02411244823640804,-0.011858186816221881,-0.027363627065677083,-0.021416229056395154,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.6065520371814,18.714650149268348
2015-12-29 00:00:00,16.07502863414482,16.30295741243353,16.07502863414482,16.264570236206055,42000,0.0,0.0,0.0,16.188993023289175,0,1.0,0.3958826065063459,0.21593259918500962,0.3958826065063459,0.2975113802404126,-0.20394039154052557,2.0,0.7975113802404126,0.20248861975958743,0.026413474942197968,0.034496075774311255,0.02721767203317023,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.6065520371814,18.714650149268348
2015-12-30 00:00:00,16.21657684967958,16.259763548007783,16.07981927672157,16.142200469970703,212400,0.0,0.0,0.0,16.169791412364674,0,1.0,0.2735128402709943,0.0,-0.12236976623535156,0.0,-0.20394039154052557,1.798659439928068,0.5,0.5,-0.01341641831580504,-0.03819210465974616,0.0015068933900902945,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.6065520371814,18.714650149268348
2015-12-31 00:00:00,16.007846785952754,16.03423876563879,15.830302238464355,15.830302238464355,18400,0.0,0.0,0.0,15.932270502051573,0,-1.0,-0.31189823150634766,0.24472639568046617,-0.4342679977416992,0.3175747576171867,0.2735128402709943,1.300380312283575,0.35733016431191955,0.6426698356880804,-0.0012099452156355843,-0.0016901668743882245,-0.0013547683901358818,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.6065520371814,18.714650149268348
2016-01-04 00:00:00,15.595171190336664,15.595171190336664,14.964166315136271,15.204092025756836,175600,0.0,0.0,0.0,15.279668752736466,0,-1.0,-0.9381084442138672,0.0,-1.0604782104492188,0.0,0.2735128402709943,2.0,0.5,0.5,-0.2649579531063572,-0.3851355048742526,-0.5368463716691267,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.6065520371814,18.714650149268348
2016-01-05 00:00:00,15.328857323558095,15.506401881107406,15.273674506198487,15.362446784973145,20000,0.0,0.0,0.0,15.390038193652948,0,-1.0,-0.7797536849975586,0.0,0.1583547592163086,0.0,0.2735128402709943,2.0,0.5,0.5,-0.0006501535894149768,0.0011801041446488146,0.0023316150519592273,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.6065520371814,18.714650149268348
2016-01-06 00:00:00,14.93777752760813,15.252080605067649,14.87539723224485,15.016953468322754,35200,0.0,0.0,0.0,15.063738918656249,0,-1.0,-1.1252470016479492,0.0,-0.3454933166503906,0.0,0.2735128402709943,2.0,0.5,0.5,-0.029104520746831838,-0.040031615649734065,-0.04650013826227297,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.6065520371814,18.714650149268348
2016-01-07 00:00:00,14.407540671168867,14.661862288008454,14.146021574923846,14.537100791931152,100000,0.0,0.0,0.0,14.40394193146615,0,-1.0,-1.6050996780395508,0.0,-0.8253459930419922,0.0,0.2735128402709943,2.0,0.5,0.5,-0.11210535425222291,-0.09225250915853514,-0.1427972870202472,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.6065520371814,18.714650149268348
2016-01-08 00:00:00,14.671460656114192,14.671460656114192,13.963679477880593,13.975675582885742,66000,0.0,0.0,0.0,14.31757006699739,0,-1.0,-2.166524887084961,0.0,-1.3867712020874023,0.0,0.2735128402709943,2.0,0.5,0.5,0.0004319267177370092,-0.025991200092127142,-0.008562580144305078,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.6065520371814,18.714650149268348
2016-01-11 00:00:00,14.179611415190204,14.179611415190204,13.27269237586412,13.74294662475586,210400,0.0,0.0,0.0,13.726151895527162,0,-1.0,-2.3992538452148438,0.0,-1.6195001602172852,0.0,0.2735128402709943,2.0,0.5,0.5,-0.10869306749508094,-0.05353164406150391,-0.16175305118058828,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.917869575782532,18.714650149268348
