Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id
2016-02-10 ,2.8081001938563803,2.8651174014718412,2.7582099672681695,2.793845891952514,5797000,0.0,0.0,0.025636027675230773,1.0,0.07819460010885577,0.9218053998911442,0.07819460010885577,0.012919911159106139,0.9342881382454327,0.44684194201102756,0.7853981659476337,0.5010134537012635,-0.052678253862260806,0.9999999570494248,0.8436107997822884,0.22088536621091462,731.0795939861999,2.722574382433187,9.517866438604983,-0.5999552009264862,0.01010879832908157,0.004604935108267011,1.0,0.0,0.0
2016-02-11 ,2.6940652694530405,2.708319569561946,2.629920918962966,2.6655566692352295,5879600,0.0,0.0,0.015636027675230774,1.0,0.06648070374369115,0.9335192962563088,0.06576284339842949,-0.023498765895983716,0.7853981660862679,-0.7853981670862679,0.885067150373064,-0.8850671515710845,0.07402932296380348,-0.9999999725415624,0.8677564528578793,0.9999999921078122,814.6626392980975,2.622793768908513,9.870098645320107,-0.6464620434405944,-0.023253421257054097,-0.016681109793067833,0.0,0.0,0.0
2016-02-12 ,2.722574154056838,2.7653372287750244,2.6798112492633304,2.7653372287750244,4758200,0.0,0.0,0.005636027675230776,1.0,0.023963061076043506,0.9760369389239565,0.023963061076043506,0.01837276908988262,0.7853981679084638,0.7188263734672893,0.9048270262107417,0.7853957225203417,-0.014929263061050099,0.9999999761174274,0.952073877847913,-0.9999999887588142,816.312480995032,2.7653372287750244,9.876802469225304,-0.6365131158660255,0.004974463787284444,0.01411394252216927,1.0,-0.9892019734308239,0.0
2016-02-16 ,2.865116665410907,2.8722439844564827,2.8009723233224735,2.8437352180480957,3343200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.013976997091109873,0.8156917248368086,0.18669101333061303,0.785398167024151,0.1651500606119519,0.02385130530283124,-0.1358826471355731,1.0,0.9999999742138908,833.7516742355789,2.8152264516397087,9.94711541826198,-0.6210442465529848,0.00773443465652035,0.001379985434617953,2.0,1.0078885305741365,0.0
2016-02-17 ,2.9078799207965593,2.979151420845628,2.900752940716312,2.972024440765381,6908200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.022058893462502293,1.5042247052744835,0.14189705577370798,1.3734007499871608,0.15188194386328566,0.0,0.2242735235055481,1.0,-0.9999999580735752,784.1597307175786,2.9648974606851337,9.744485428495198,-0.5925286377676289,0.014257804392677986,0.003261684868078818,3.0,0.3353486553005098,0.9985452520024802
2016-02-18 ,2.9292618522568534,2.9292618522568534,2.8081001193634783,2.8152272701263428,5181500,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.02709354603393916,0.7483821711664697,1.0191355008281513,0.46364761291799794,1.4940173974904893,0.0,-0.9999999796551302,1.0,0.0,701.2784068755872,2.701192687995832,9.385773706821897,-0.5814012658757938,0.005563685945917551,-0.0043470592233802174,2.0,0.20188234976697678,-0.33626993763681334
2016-02-19 ,2.7368290692299,2.779592153535229,2.7011933072460574,2.7510833740234375,6609300,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.011523592591858096,0.24497866446365923,1.4758401987781928,0.3366751580195494,1.4288948691064203,-0.0,0.403187641367408,1.0,-0.0,621.6022367306163,2.722574594511646,9.013089666683355,-0.5881331631301041,-0.0033659486271551686,-0.00446481728653636,1.0,-0.19749620543554738,-0.0667331527667665
2016-02-22 ,2.8223544071092608,2.8722446321304047,2.8152272563811938,2.865117311477661,3237600,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.020304462721322625,0.9272931540054662,0.3893171227233954,0.927293972912239,0.3217505567274377,-0.0,0.9999999685811791,1.0,0.0,616.0770814664854,2.8579899908249176,8.986086425281167,-0.5702887071133494,0.008922228008377331,0.00614408831776625,2.0,-0.33160104606069846,-0.1996892776012621
2016-02-23 ,2.8651175385934544,2.879371841179516,2.7938460256631457,2.8009731769561768,6803300,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.01132070422320672,1.0768542439155835,1.3439951153435004,0.9652552961533707,0.5880026080674098,0.0,-0.9999999683796146,1.0,0.0,708.7350658049083,2.7225745127328373,9.419172128412521,-0.592195652481761,-0.010953472684205767,-0.009937850346291549,1.0,0.3362297534441319,-0.06705242031257554
2016-02-24 ,2.7011927514896494,2.7297013552112266,2.665556996837678,2.708319902420044,6567200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.01681763398701296,0.12435499524600378,1.4288973886708658,0.1448124535539974,1.3370515791502464,-0.0,-0.19535373863890967,1.0,-0.0,684.9935293391717,2.6869384496288613,9.311998564196326,-0.6135245992941135,-0.010664473406176267,0.00014449963901475016,0.0,-0.3316320934127473,0.3339153997524152
