Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id
2022-09-15 ,20.354553975480673,20.40606393914215,19.898702750243793,20.251537322998047,230300,0.0,0.0,0.0,0.05963287174178006,-1.0,0.04820507766168799,0.04816885652097609,0.951794922338312,-0.0016926578140733508,0.7853981636254848,-0.7853981646254847,1.3246475131779722,-1.3246475150592214,-0.0375278130308791,0.836900136600256,-0.9036260658173358,-0.9999999861793468,1478.560087354089,12.0529651467011,43.216394594079205,-0.11953460598443472,0.027130555452578628,0.0003242989978538835,1.0,0.0,0.0
2022-09-16 ,20.52624827064419,20.76662316176568,20.260120038008957,20.303043365478516,312700,0.0,0.0,0.0,0.04963287174178006,-1.0,0.04012143582897134,0.04012143582897134,0.9598785641710287,0.0012700425354195317,0.7765518041053329,0.418225715951083,0.7853981639374955,0.41734423447912383,-0.005447039769427093,0.999999662470198,-0.9197571283420574,0.7465010447859496,1655.7024592669588,12.518354386619821,44.882831039591814,-0.15485483455461696,-0.017660114285091122,-0.022395334868834875,2.0,0.0,0.0
2022-09-19 ,20.526248875234845,20.637852149814893,19.83946579097313,19.85663414001465,194700,0.0,0.0,0.0,0.03963287174178007,-1.0,0.03162087291862149,0.03146246064228463,0.9683791270813785,-0.011115856829348443,1.0214242496705301,1.0671716068842423,0.46364760955170586,-0.4636476103517059,0.03748484630034249,-0.9999999192630353,-0.9369166664390939,0.9999999767072899,1704.411850196031,12.640443337096576,45.32001271090484,-0.18678692453641285,-0.015966044990897946,0.0008470346470965881,1.0,0.3335203590554606,0.0
2022-09-20 ,20.022482187293964,20.091228843939408,19.618595784383167,19.919363021850582,291600,0.023,0.0,0.0,0.02963287174178006,-1.0,0.025811990485229228,0.025811990485229228,0.9741880095147708,0.0015770536582819983,0.785398163812155,-0.785398164812155,1.1867926651617582,-1.1867926668810547,-0.021377881914561296,0.9999999212158691,-0.9483760190295416,-0.9999999830113212,1911.2396707150713,13.134361592988816,47.08870932305898,-0.22194026197279262,-0.017576668718189886,-0.0008053118636459702,2.0,-0.3316634206897142,0.0
2022-09-21 ,19.953736646533656,20.452150344848633,19.58422437080591,20.452150344848633,211400,0.0,0.0,0.0,0.019632871741780064,-1.0,0.016604272511006025,0.016604272511006025,0.983395727488994,0.01319711050112688,1.095599268591525,0.4636476097090804,1.3825858500962827,-1.3825858539562552,0.003775540682095187,0.7865119089618872,-0.9667914549779879,0.9999999602439805,1935.0862875192122,13.188971347298171,47.28426895376863,-0.19969128984885395,0.011124486061969335,0.01435057739007961,3.0,0.3335654528313891,-0.3325918898725874
2022-09-22 ,20.48652273016121,21.423196923070012,20.417776075592194,21.268516540527344,245900,0.0,0.0,0.0,0.009632871741780069,-1.0,0.005238181358346152,0.005238181358346152,0.9947618186416538,0.01956742920532906,1.0197120297602418,0.09966865249411418,1.1270858670450756,0.1159723235672173,0.005366816631537877,0.19442722427502152,-0.9895236372833076,0.17405530333128405,1651.2839917622855,12.50716148620012,44.84275125805226,-0.10750379378473192,0.04609374803206102,0.01748463098504584,4.0,0.20114322125239126,0.3326144367605517
2022-09-23 ,21.68959183601456,22.40283905203504,21.57787912755097,22.243003845214844,163100,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.022396075707040084,1.4064937600285798,0.09836576631928613,1.4065267132642205,0.08314123187701991,0.004173837634903386,0.0674072968931143,-1.0,-0.12504162065584007,1446.1315354267101,11.96378771931457,42.897083337151365,-0.018316591488908192,0.04459360114791186,-0.0007500734420745787,5.0,0.1440549131147764,-0.06621111578949893
2022-09-26 ,22.523145394360306,22.6254073428556,21.5520986075434,22.15363311767578,144800,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.002013006697191139,1.06907684837021,0.3491245856473025,1.262738350254387,0.1418970545875856,0.0,-0.9999999590316447,-1.0,-0.9999997604123955,1161.9788288198802,11.118350742074693,39.87006086256458,0.05089018082288114,0.034603386155894665,-0.004995107496008597,4.0,0.11217223147389203,-0.028544154068807434
2022-09-27 ,21.517726710335264,22.050512935942923,21.173991758143544,21.61397171020508,167000,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.012330156278666732,0.4132213152305792,0.8782971161455959,0.5880038139731827,0.7853981635586353,-0.0,-0.7193077900274454,-1.0,-0.0,1307.10584677099,11.565542487542489,41.4711560031469,-0.013174231884740435,-0.03203220635381079,-0.033317796254852726,3.0,-0.11101177008052786,-0.015941340820442178
2022-09-28 ,21.71537061475071,22.016137843133738,21.18258281255369,21.268516540527344,119800,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.008055856452589074,1.3429283523074476,0.7853981637407026,0.67615487756832,1.512905529525863,-0.0,0.20966825012603163,-1.0,0.0,1273.0633607895204,11.463747220457984,41.10668671347964,-0.020452338663525742,-0.0036390533893926533,0.014196576482209067,2.0,-0.1420617543363619,-0.11159200077720995
2022-09-29 ,21.65522034672456,22.8496942416983,21.57788014527521,22.737979888916016,186000,0.0,0.0,0.0,0.7891813057553791,1.0,0.47095550284155824,0.5290444971584418,0.47095550284155824,0.03339196408750005,1.1254000016279058,0.058755822727428,1.3304169712333027,0.12340977227972154,-0.0,0.9999999758732796,0.05808899431688358,0.0,1456.836513715256,11.993372466455064,43.00301497307802,0.0012244334144437148,0.010838386038984729,0.007238719714188691,3.0,-0.19927740482787232,-0.015524992127917019
2022-09-30 ,22.875471029765052,23.182251919955235,22.127849753794873,22.94421768188477,156900,0.0,0.0,0.0,0.7791813057553791,1.0,0.38798823009687367,0.6120117699031263,0.38798823009687367,0.004514620660468772,1.452483859797463,0.09161818428138828,1.0536589772100837,0.05549850529103708,0.36813570130711126,-0.7618028070116717,0.22402353980625267,0.9999999972836103,1063.2265058403082,10.79224135319072,38.7025446736376,0.11569953467512811,0.0572375506303422,0.023199582295678735,4.0,0.20279380646018028,-0.02860782524575521
2022-10-03 ,23.9066732503634,25.02380851008344,23.846520128503407,24.826160430908203,307300,0.0,0.0,0.0,0.7691813057553791,1.0,0.20024371550206774,0.7997562844979322,0.20024371550206774,0.03939560085917443,-0.7853981641689578,0.7853981631689577,-0.8199008658620747,0.8199008647931241,0.2778547705156619,0.7943703811362304,0.5995125689958645,-0.13975582394729508,1170.001858942111,11.144018584664574,39.96195761958015,0.16248253017672268,0.023391497750797283,-0.01692302643977246,5.0,0.14314055364268424,0.20103560564402628
2022-10-04 ,24.11291169275832,24.980839233464547,23.46841118977296,24.242671966552734,388600,0.0,0.0,0.0,0.7591813057553791,1.0,0.22031256177829106,0.7796874382217089,0.21913041231795966,-0.011891223733003707,1.5230514965801574,0.7853981631754442,1.172785002234771,0.9302834484171805,0.048319650956868895,-0.9999999805018153,0.5605570259037493,-0.7037189422114285,976.1599616311099,10.487470067046104,37.61147544177796,0.1993691750765387,0.01844332244990801,-0.0024740876504446355,4.0,0.11292285530469927,-0.029826626408748017
2022-10-05 ,24.654295197830475,25.78002238295214,24.499614801284817,25.1097412109375,207700,0.0,0.0,0.0,0.7491813057553791,1.0,0.20513304868840537,0.7948669513115947,0.20513304868840537,0.017568933078640988,-0.911486047165587,0.9114860459160755,-0.7853981643823186,0.7853981633823186,-0.1839949475287284,0.9999999660558505,0.5897339026231894,-0.9999999956954922,898.5084326842539,10.199915223910565,36.58209213591467,0.2622867450820754,0.031458785002768344,0.006507731276430166,5.0,-0.11051491295765453,-0.015108849168992487
2022-10-06 ,25.161302838039077,25.57721989662527,24.71444871621939,25.346059799194336,191500,0.0,0.0,0.0,0.7391813057553791,1.0,0.31976887286947975,0.6802311271305203,0.31976887286947975,0.004683675286601469,0.9735438571680977,0.785398163735839,-0.9464710347443149,0.9464710321111095,0.04465622471477177,-0.5790448023666696,0.3604622542610405,0.9999999956265259,883.5942905591892,10.142801178523186,36.37764273024795,0.27726399317647477,0.007488624047199688,-0.011985080477784328,6.0,0.11195041193810959,-0.1117188841311769
2022-10-07 ,25.79720749943941,27.059569048277048,25.788613962611535,26.907466888427734,313600,0.0,0.0,0.0,0.7291813057553791,1.0,0.2030490817964552,0.7969509182035448,0.2030490817964552,0.02988137238214905,-0.7853981642347507,0.7853981632347508,-0.9437260214960034,0.9437260201846132,0.15769914766666027,0.7289935372875158,0.5939018364070896,0.5586356372104188,985.1367268277204,10.51971299005151,37.726901250620315,0.30059166476636223,0.011663835794943733,0.0020876058738720227,7.0,0.09109614462744964,0.11123266244788206
2022-10-10 ,26.905750403765857,27.517596195538392,26.484676888451737,26.957311630249023,209400,0.0,0.0,0.0,0.7191813057553792,1.0,0.2382987871047666,0.7617012128952334,0.2382987871047666,0.0009253679898452787,-0.9887999606117076,0.9887999592160318,-0.7853981646157742,0.7853981636157742,0.04249131881257802,-0.9399242861378057,0.5234024257904668,-0.5754910825912849,903.6216975096889,10.21935055848997,36.65166470301442,0.33138362131362575,0.01539597827363176,0.0018660712393440138,8.0,0.07789059489645303,-0.010427133655329976
2022-10-11 ,27.232299111648263,27.90258032490332,26.690917690428854,27.75477409362793,225500,0.0,0.0,0.0,0.7091813057553792,1.0,0.22244417508477063,0.7775558249152293,0.22244417508477063,0.014575618034442524,-0.7853981651962032,0.7853981641962032,-1.0789885571824955,1.0789885556284793,0.047050457449496666,0.8806052171522549,0.5551116498304587,0.05091632952040662,879.4176136228688,10.12669106394321,36.31997423890362,0.36963663372580197,0.019126506206088106,0.0018652639662281728,9.0,0.06669393585790923,-0.006602774865498304
2022-10-12 ,27.851017097427917,28.388100891560747,27.447130674297913,27.679149627685547,204500,0.0,0.0,0.0,0.6991813057553792,1.0,0.2689689638247224,0.7310310361752776,0.26880616268823787,-0.0013642271891590165,-1.0000357763209755,1.0000357749047637,-0.7853981645586376,0.7853981635586377,0.03867225523431209,-0.9999999372641376,0.4622248734870398,-0.09773608248203464,895.4913168142664,10.188412554605236,36.54091620713458,0.36083757113947057,-0.004399531293165698,-0.011763018749626902,8.0,0.05919403261294895,-0.005598329519271902
2022-10-13 ,28.804877303968617,29.04548978525632,26.940122378740917,27.06042861938477,251200,0.0,0.0,0.0,0.6891813057553792,1.0,0.26912598988209935,0.7308740101179007,0.2677546339543322,-0.011302991877433617,-0.4636476100092739,0.46364760920927395,0.5751805585370667,1.20845120698245,-0.05231292775707818,-0.7846050385187661,0.46311937616356846,-0.9999999890091996,909.700772099781,10.242361437139731,36.73403694728317,0.3329544798937114,-0.013941545622879581,-0.004771007164856941,7.0,-0.058787924789924804,-0.0037499516224801382
2022-10-14 ,26.768256859835837,29.2431383441249,26.54482979737819,29.148611068725582,372600,0.0,0.0,0.0,0.6791813057553792,1.0,0.2517063167495252,0.7482936832504747,0.2517063167495252,0.03715029576964143,-0.46364302045810146,0.46364301885813086,0.24497866348681047,1.419781749694525,-0.17502373389494552,0.999999979361566,0.49658736650094953,-0.5397756996446125,845.0399339391315,9.9921054751226,35.838212527233566,0.43200224298045925,0.04952388154337392,0.03173271358312675,8.0,-0.06632696060706547,-0.05899097870143688
2022-10-17 ,28.40098911627577,28.51270345835977,26.80262893050496,27.111988067626953,256200,0.0,0.0,0.0,0.6691813057553792,1.0,0.24800029135370577,0.7519997086462942,0.24379431926313658,-0.03619981003335377,0.3217505545073564,1.4018358837855838,1.2956074138866036,0.7568372443224022,0.1498403714026943,-0.9999999863667547,0.5082053893831576,0.9999999969217898,787.8864611542743,9.760005719779755,35.007419888991336,0.383049483031858,-0.024476379974300633,-0.03700013075883728,7.0,0.06769587500713944,-0.0037695179085703336
2022-10-18 ,25.848769754640234,27.368932648380888,25.840176216923616,27.026058197021484,186700,0.0,0.0,0.0,0.6946535804545719,-1.0,0.20413203394240517,0.2039882274200288,0.7958679660575948,-0.0015872362697650585,0.14189705458656607,1.3066400348248763,0.1681668440198253,1.5257458956559098,-0.19910599038170038,0.9159904314813161,-0.591879738637566,-0.9999999971342299,545.4394972502762,8.625615180214496,30.94755355901197,0.5032864006454598,0.06011845880680092,0.042297419390550775,6.0,-0.06553603033239325,0.06701141780710246
2022-10-19 ,27.069025478142336,27.26667193746793,26.69005913456074,26.81122589111328,234200,0.0,0.0,0.0,0.6846535804545719,-1.0,0.20119341763513984,0.20083569546872337,0.7988065823648601,-0.003990400138991226,0.8044592975638566,1.331770888047807,1.083583594965616,0.12435499456850084,-0.17599929937298542,-0.43085695485573544,-0.5979708868961368,0.06160054677508253,601.3489674173968,8.913304196656936,31.977049633455334,0.4625389460222599,-0.02037372731159995,-0.04024609305920043,5.0,-0.0768688863041558,-0.06661595266976635
2022-10-20 ,28.478334633365815,29.191583587089845,27.584626285844063,28.56427001953125,558200,0.0,0.0,0.0,1.812650938708957,1.0,0.5408626103901688,0.4591373896098312,0.5408626103901688,0.031657398269565484,1.544019805869888,0.24497866301380636,-0.49354083595844034,0.4935408341629495,-0.16297667692299309,0.9999999719477776,-0.08172522078033762,0.03841753788535158,590.0960392493665,8.856887103309655,31.775154214710255,0.5322166215143236,0.03483883774603183,0.02760628252881589,6.0,-0.09074745441602242,-0.005666427985881274
2022-10-21 ,28.72753857375914,28.98533814229282,27.576030774749285,27.593217849731445,219300,0.0,0.0,0.0,1.802650938708957,1.0,0.5378787892978664,0.46212121070213363,0.5336460327618723,-0.017291588470988238,1.3352452923516276,0.7853981631883715,1.5607941214348102,1.0948261097486411,0.2949021782734383,-0.9999999795705683,-0.07152482205973865,0.9999999978160161,644.1919592765196,9.121851606681636,32.72338859009874,0.46818857236093625,-0.03201402457669367,-0.03342643116136275,5.0,0.09211671758785826,-0.0069392840559333105
2022-10-24 ,28.701761700498125,29.62124897167849,27.722118023428752,28.014291763305664,307800,0.0,0.0,0.0,1.792650938708957,1.0,0.6115779046476492,0.38842209535235084,0.6115779046476492,0.007572249081183425,-0.785398164683722,0.7853981636837221,-1.3449852056237135,1.3449852037239731,-0.4163573344788768,0.9999999597809487,-0.22315580929529832,-0.9999999985940434,618.0056826944361,8.995530478547707,32.271311957393884,0.497261549392087,0.014536488515575374,0.02327525654613452,6.0,-0.09019369543265025,0.09143208600194033
2022-10-25 ,28.143192348119577,28.151784246930788,26.278437247582943,26.5620174407959,201500,0.0,0.0,0.0,1.782650938708957,1.0,0.5332788938902273,0.4667211061097727,0.5267268091046416,-0.02660997681390707,0.1973955597884423,0.9254285983046945,0.20082777875228083,1.2809500726730705,0.06626201771952504,-0.9999999707450307,-0.06000570299486896,0.9999999979279737,637.3285393734727,9.089080288635115,32.60610553286177,0.4336956386731643,-0.03178295535946135,-0.023159721937518363,5.0,0.09121006644682722,-0.09115520651025426
2022-10-26 ,26.87137764753462,27.00027743447122,25.582376500069188,26.2784366607666,219300,0.0,0.0,0.0,1.772650938708957,1.0,0.4388974772463262,0.5611025227536738,0.4378456302072755,-0.005366736241218475,0.08804479323445813,0.7853981632488044,0.14500677436170858,1.0231266402907373,-0.4249937623855291,0.664334694805313,0.12325689254639827,-0.9999999979644005,543.918435487041,8.61751803461347,30.918579154648654,0.4761715127766923,0.021237937051763994,0.026510446205612673,4.0,-0.08979214425663806,0.09070188093973874
2022-10-27 ,25.664010918681765,26.38155569468862,25.20426733821284,26.22687530517578,179100,0.0,0.0,0.0,1.762650938708957,1.0,0.3990623201495966,0.6009376798504034,0.39888855582103766,-0.0009820216976191977,0.08645038820516554,0.7853981635190792,0.1408777725672421,1.0238052892669143,-0.34381022495602725,0.6906412081228003,0.2020491240293657,0.1055971855773392,631.8351151310259,9.06267978941677,32.51162329374145,0.42390339801535465,-0.026134057380668818,-0.023685997216216406,3.0,-0.11084482592088135,-0.09050110535173264
2022-10-28 ,26.22687662185796,27.206516952554523,25.797209580106877,25.84017562866211,185600,0.0,0.0,0.0,0.1962395180833043,1.0,0.06657791088589911,0.9334220891141009,0.06635636838802658,-0.0074269556193043255,0.7853981634263992,0.36484472018317127,1.099901895093394,0.4884503893958831,-0.31195954474476767,-0.7664348365263768,0.8670657207260742,0.048569912237982606,632.3455153681014,9.065139148357792,32.52042483239271,0.4087782044276301,-0.007562596793862286,0.009285730293403266,2.0,-0.14279493832939402,-0.010526340832121645
2022-10-31 ,26.08938418653701,26.570610830723737,25.685496104568912,25.917516708374023,97500,0.0,0.0,0.0,0.18623951808330433,1.0,0.09301513495086268,0.9069848650491373,0.09301513495086268,0.0014942914998660264,0.4636476092298298,1.281818077638337,1.2329174712064217,0.9229823881900445,-0.06072221890211546,0.999999887908061,0.8139697300982747,0.6741336702661055,663.7568496937353,9.214005378426105,33.053196754664896,0.39549759256143685,-0.006640305933096613,0.0004611454303828366,3.0,-0.199334486445668,-0.015975056204256335
