Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,Yd,Ydd,ϴ1,ϴ2,ϴ3,ϴ4,W,Wd,Pd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id,M,Mσ,R
2016-05-26 ,49.787479400634766,50.37321603564805,49.678787259691894,50.035059860111616,3582799,0.0,0.0,0.8576616469164133,1.0,0.27904131061522425,0.721039759742591,0.27896024025740895,-0.0009088395816038621,-8.480144975862673e-05,9.091000363280452e-07,1.4971693570243025,0.21413390435592647,-0.09065988741329772,0.09065988723296986,0.3066359870954531,-0.28800249546033685,0.4420795194851821,8.608446004492986,42.56175391082636,53.266293514217296,0.044633637877237106,0.0,0.0,0.0,0.0,0.0,-0.001998209230373243,-0.001998209230373243,1.0526812315522969
2016-05-27 ,49.87201690673828,50.13167390673811,49.65463263155548,49.83578726226726,2552207,0.0,0.0,0.8476616469164133,1.0,0.47746833018380763,0.5225316698161924,0.47746833018380763,0.0008482634293352467,-3.9734265365773656e-05,1.2016449418915491e-06,0.7853981632468222,0.20324149942580783,-0.16480783053343365,0.16480782918760406,-0.0733601514569694,-0.18999806927621124,0.045063339632384736,8.628565325718302,42.59632868361539,53.30937238049422,0.04551994894020256,0.0,0.0,1.0,-0.9995970645796896,0.0,0.0016982497226231857,-0.001505348036640386,1.208419322720234
2016-05-31 ,49.570098876953125,49.87806210242541,49.42517387525604,49.66671447669162,6090354,0.0,0.0,0.8376616469164133,1.0,0.8065111434829555,0.1936998670458606,0.8063001329541394,-0.003036118322762709,-3.4366259433738594e-05,1.0089930704041877e-06,0.5851081925440279,1.4580710350816852,1.4209799704246642,0.7853981644597513,0.07326468411846242,0.07331241778771591,-0.6126002659082788,8.904703741845701,43.0654199256948,53.89385632206654,0.028519385877429887,0.0,0.0,0.0,1.0003750018201159,0.0,-0.00724770958110903,-0.0022709962425695386,3.3384256679001965
2016-06-01 ,49.7754020690918,50.059212169692195,49.1896654432927,49.27420448584692,3609923,0.0,0.0,0.8276616469164133,1.0,0.6993039860419534,0.30069601395804657,0.6993039860419534,0.0020665575208098567,1.0658347600470265e-05,9.043189581522308e-07,0.2449786638193428,1.2277396149495783,0.26958856718541696,1.1263515397856514,-0.30308228905811424,-0.18817348658828834,-0.39860797208390686,9.362717333290895,43.822118784205564,54.83675019405237,0.015271288572394678,0.0,0.0,1.0,-0.99864928180368,0.9999860331999026,0.00446583758230535,-0.0013727517325862202,3.5088049522673272
2016-06-02 ,49.79350280761719,49.97465738399729,49.250035874299506,49.68480749844722,2827903,0.0,0.0,0.8176616469164133,1.0,0.8679981960308536,0.1320018039691464,0.8679981960308536,0.00018179107772455498,-2.8744184698085407e-05,3.969424834690168e-07,1.2737339760129553,0.578728799160066,0.46568619148589274,0.7853981637423643,0.20403436217820048,0.2535583256181574,-0.7359963920617072,9.70502397507571,44.37137425488439,55.52119628230692,0.0032048096271455853,0.0,0.0,2.0,1.0009117710109752,-0.999512141811898,0.0004665829635285337,-0.0011275071064375864,0.4540922010225291
2016-06-03 ,49.88409805297851,50.03506292930218,49.41913328309461,49.65463720848808,1848083,0.0,0.0,0.8076616469164134,1.0,0.9288306452037023,0.07116935479629771,0.9288306452037023,0.0009088826835632127,-1.7799265963693767e-05,6.452065648590298e-07,0.8029082769049186,1.0667729959815655,0.7853981657523399,0.9672171376875399,0.01830335351701645,-0.09286550433059201,-0.8576612904074046,10.121237106410634,45.02176282655835,56.331709142348274,-0.00949951696327098,0.0,0.0,3.0,0.33336015127823054,0.9997805264073276,0.002528323758270014,-0.0006400629911432398,4.681534931541776
2016-06-06 ,50.23432159423828,50.40943632166825,49.76331706397364,49.92635524511649,2479040,0.0,0.0,0.7976616469164134,1.0,0.653943835729796,0.346056164270204,0.653943835729796,0.0034980929832276737,-2.7559459576074674e-05,5.922538305611684e-07,1.3597668770080777,0.7508166348603779,1.535088950589662,0.32175055587076756,0.09424980609517461,0.03797322628907908,-0.30788767145959195,10.077331379995687,44.95402149044856,56.247287989700745,-0.0010005344115771285,0.0,0.0,4.0,0.20008035231883228,-0.33377580986637234,0.007330414851595987,0.0004226673878886571,14.025009062087438
2016-06-07 ,50.50606155395508,50.874410704948495,50.11959918215628,50.11959918215628,4047810,0.0,0.0,0.7876616469164134,1.0,0.48490141071794224,0.5150985892820578,0.48490141071794224,0.0026974282926545546,-5.144570939180835e-05,7.263260432090688e-07,0.7853981632558941,0.11961938445436544,-0.1299984974373234,0.12999849639543665,0.3642523846718318,0.1350012892883286,0.030197178564115523,10.579456754700617,45.717114760225044,57.19830294383938,-0.012405119818008938,0.0,0.0,5.0,0.14307710729747347,-0.06663989947969913,0.005397316475065422,0.001085953932845559,4.551033834944319
2016-06-08 ,50.83818435668945,50.89253043098757,50.240371131052854,50.42152578010613,3100678,0.0,0.0,0.7776616469164134,1.0,0.5278017865234181,0.47219821347658186,0.5278017865234181,0.0032771747399177303,-5.8654264471438725e-05,9.951808501819694e-07,0.7853981634351191,0.062418015577695926,-0.08138589069638107,0.08138589027340175,0.28818423553227746,-0.03803407456977717,-0.055603573046836274,10.965095129182156,46.28664621604705,57.90812621896237,-0.01820787958984919,0.0,0.0,6.0,0.1112432094089733,-0.028501622510679406,0.006564484319679339,0.001816424651090063,3.4253808601060616
2016-06-09 ,50.560394287109375,50.92270667031734,50.54831774169871,50.59058725272484,3514222,0.0,0.0,0.7676616469164134,1.0,0.6621256933097258,0.3381470588394851,0.661852941160515,-0.0027395854389233765,-7.316160138327106e-05,1.2249129756073928e-06,0.7853981634458038,0.9903689295947172,-0.2249142317912496,0.22491422850846582,0.3545748048724024,0.03319528467006247,-0.32370588232102987,11.113937731429434,46.50282851337706,58.17756845579767,-0.02833795064653739,0.0,0.0,5.0,0.09104027575053802,-0.015916948944250088,-0.005768755195886108,0.000805067338159907,6.373840876430883
2016-06-10 ,49.81767272949219,50.39132961589064,49.678787614145705,50.24036795192862,3297644,0.0,0.0,0.5515835169071488,-1.0,0.443423962492172,0.4426046180767684,0.5573953819232317,-0.007399241484639752,-2.054219610617355e-05,1.5440686378239058e-06,0.7853981634645726,0.7098717664762939,-0.08400673252748873,0.08400673204873163,-0.30682859296590587,-0.33070169891915413,-0.1147907638464633,11.113886548567264,46.50275451286892,58.177476223343504,-0.04313511535315403,0.0,0.0,4.0,-0.09079834454622866,-0.010101466829217635,-0.014896089287058536,-0.0012884202118692185,12.534362120641717
