Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Low_High_Avg,RV,Sd,Rs,G,Rf,Sf,R*,Ss,P↑,P↓,Y_High,Y_Close,Y_Low,cos_θ1,sin_θ1,cos_θ2,sin_θ2,cos_θ3,sin_θ3,cos_θ4,sin_θ4
2016-01-07,70.1083295441538,70.99117698669832,69.67803367634646,69.87092590332031,6309700,0.0,0.0,70.3346053315224,0.004591996126315776,-1.0,-1.899261474609375,0.0,-1.899261474609375,0.0,0.20775604248046875,2.0,0.5,0.5,-0.008569637484436312,-0.015553198339236544,-0.013012574891580081,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016-01-08,70.17510787999514,71.22117155406758,69.20323745441165,69.41096496582031,5634400,0.0,0.0,70.21220450423962,0.0040735407134701905,-1.0,-2.359222412109375,0.0,-2.359222412109375,0.0,0.20775604248046875,2.0,0.5,0.5,0.002888346083429909,-0.005897870828008659,-0.00610565881107453,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016-01-11,69.61130536521912,70.70188089399144,69.43324829021175,70.41996002197266,6243400,0.0,0.0,70.0675645921016,0.004579449118698479,-1.0,-1.3502273559570312,0.0,1.0089950561523438,0.0,0.20775604248046875,2.0,0.5,0.5,-0.00810888326741167,0.01599150315503367,0.003676835798198449,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016-01-12,70.95412192685082,71.36216232672129,70.24933104724101,70.99121856689453,5333500,0.0,0.0,70.80574668698115,0.003943785029874488,1.0,0.571258544921875,0.14099077265370852,1.5802536010742188,0.007960270094979904,-1.3502273559570312,0.17899941570276617,0.05271012402067145,0.9472898759793286,0.00794083275459735,0.006901922882509719,0.009981897151894027,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016-01-13,71.10249292445734,71.68858470923333,69.70032604878335,69.81903076171875,6270900,0.0,0.0,70.69445537900833,0.0045603691033269346,1.0,-0.6009292602539062,0.0,-1.1721878051757812,0.0,0.571258544921875,1.1065760934442754,0.7233559766389311,0.27664402336106886,0.0053658357139153194,-0.01957539359133889,-0.009224695330229547,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016-01-14,69.81901502279055,71.47342055028008,69.81901502279055,70.85765838623047,4986800,0.0,0.0,70.64621778653532,0.003680484989307476,1.0,0.4376983642578125,0.43031602445046246,1.0386276245117188,0.17165454191254506,-0.6009292602539062,0.5305216908058398,0.304284964614005,0.695715035385995,-0.002390365040558422,0.01174247926641518,0.0013530007282455871,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016-01-15,69.37388005533305,70.5608985527841,68.95841933611217,69.66321563720703,7556600,0.0,0.0,69.75965894444813,0.005483101119767998,-1.0,-1.1944427490234375,0.7419067126711809,-1.1944427490234375,0.3858050644757642,0.4376983642578125,2.0,0.11419493552423576,0.8858050644757642,-0.019470832809166564,-0.025760777987229987,-0.018793808168713053,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016-01-19,70.38283374697856,70.89473201549472,69.98962881530585,70.52378845214844,6258600,0.0,0.0,70.44218041540029,0.004597366571056332,1.0,0.8605728149414062,0.0,0.8605728149414062,0.0,-1.1944427490234375,0.5190922786410854,0.12977306966027136,0.8702269303397286,0.003909222463852539,0.010168587398310124,0.012293490318974538,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016-01-20,69.573676885035,70.79583612754902,68.82100377213978,70.14004516601562,7107700,0.425,0.0,69.80841994984439,0.0051926784934231895,-1.0,-0.3837432861328125,0.13741556397239663,-0.3837432861328125,0.1282301849611321,0.8605728149414062,0.1988411814296644,0.8220595196814517,0.1779404803185482,-0.0015853281864674864,-0.006196411191562085,-0.019122045368139873,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2016-01-21,70.46046741614114,71.02682983239666,69.68543887826624,70.4083023071289,4845700,0.0,0.0,70.35613435533145,0.0035536667572364645,1.0,0.26825714111328125,0.13209781690193267,0.26825714111328125,0.2424871319933954,-0.3837432861328125,0.48867599202197987,0.36465612999889035,0.6353438700011096,0.002220812685376348,0.00260245349875023,0.008509809748382774,0.9959423135366561,-0.08999393372474135,1.0,0.0,1.0,0.0,0.8612015022652751,0.5082636840224111
2016-01-22,71.39198099169504,71.60808949390591,70.33376571263702,71.27274322509766,4376900,0.0,0.0,70.97092760327146,0.003249274504210698,1.0,1.1326980590820312,0.0,1.1326980590820312,0.0,-0.3837432861328125,2.0,0.5,0.5,0.007361806880725004,0.011022082554804741,0.00836462523963136,0.999960178853242,-0.008924164262964053,1.0,0.0,1.0,0.0,0.8932949992086135,0.44947084932049064
2016-01-25,71.21315842961394,71.39201516512391,70.04316429128835,70.102783203125,5734900,0.0,0.0,70.71758972820612,0.004187525009459675,-1.0,-1.1699600219726562,0.0,-1.1699600219726562,0.0,1.1326980590820312,1.0668754736875616,0.7332811315781096,0.2667188684218904,-0.003959643056788993,-0.02168632728308885,-0.005424893474932484,0.9894034572276844,-0.1451922822532442,1.0,0.0,1.0,0.0,0.9637908580540643,0.266659299352958
2016-01-26,70.14746554348008,70.43065241484139,69.61836071221292,70.08039855957031,4529000,0.0,0.0,70.02450656352715,0.0033059416771258135,-1.0,-1.1923446655273438,0.0,-1.1923446655273438,0.0,1.1326980590820312,1.1080907088622478,0.722977322784438,0.27702267721556195,-0.010706514453136093,-0.0002522090911177371,-0.004804164327140636,0.9278117551685685,-0.3730487192995311,1.0,0.0,1.0,0.0,0.9908596016087471,0.13489718269761952
