Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Wd,Yd,Pd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id,W_0,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12,W_13,Ds
2016-07-05 ,1.602215450122373,1.6028215336354288,1.5233481142991832,1.553681254386902,4137000,0.0,0.0,0.0,0.06401377117683806,-1.0,0.3823056394743152,0.3794757180544675,0.6205242819455326,-0.02586550776069118,0.843418170339321,1.0330006255864044,0.7853981653430587,0.8335758868503765,-0.2289821153403999,-0.30060809849228315,-0.2236214882213226,-0.24104856389106505,6.111994700447079,1.7673720587865303,1.7673720587865303,-0.1288666128581436,-0.016381437168192098,-0.011806528519439259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-06 ,1.5221352750951729,1.567028527801115,1.4748149759992688,1.5603554248809814,6273000,0.0,0.0,0.0,0.054013771176838046,-1.0,0.25009329756094284,0.25009329756094284,0.7499067024390571,0.002143253654818375,0.4272164347600371,0.9081546861625297,0.24497866513345398,1.0044437037781726,-0.31192252616114163,-0.04147020541037087,0.9999999642968873,-0.49981340487811426,5.588328072855527,1.705210320648976,1.705210320648976,-0.0887748265743632,0.020045893141890203,0.01821366515504115,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-07 ,1.5706683487951032,1.6507488305210885,1.5706683487951032,1.6173816919326782,6213000,0.0,0.0,0.0,0.03792729688565966,1.0,0.204304539631275,0.795695460368725,0.204304539631275,0.017945558413238864,0.2648186309608959,0.8110249977290351,0.19739556361997276,1.2120226945621946,0.025787633077980963,0.1688550796195613,0.7866221217194446,0.5913909207374499,5.6104215358791905,1.7079158812170823,1.7079158812170823,-0.05446524210827339,0.017154792233044905,-0.0014455504544226491,3.0,0.3336484971749828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-08 ,1.6647019083549306,1.7550963344407706,1.6628819220281734,1.7532763481140137,9957000,0.0,0.0,0.0,0.027927296885659664,1.0,0.09964022238563695,0.900359777614363,0.09964022238563695,0.04031695133910795,1.4698697478870122,0.3645804227820663,1.02944542472285,0.32175055722642254,0.2473609669281845,0.11078666692510176,0.3839757785407139,0.8007195552287261,5.913818303771212,1.7443158284751117,1.7443158284751117,0.00512383307736334,0.029794537592818363,0.006319872679886729,4.0,0.20154214046551827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-11 ,1.790889916977317,1.8333571025732145,1.787856786785652,1.8109099864959717,9292500,0.0,0.0,0.0,0.017927296885659666,1.0,0.050000531477191267,0.9499994685228087,0.050000531477191267,0.01617020912243204,0.8205042621534268,0.16137496531277806,0.7853981658409125,0.18216911345378006,0.5380190039187244,0.14532901849526994,-0.4274731034788591,0.8999989370456174,5.568949275059494,1.7028308400468681,1.7028308400468681,0.06153740772755404,0.02820678732509535,-0.0007938751338615064,5.0,0.1452370731722389,-0.06605317835473226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-12 ,1.857623449680352,1.9006975918767444,1.8533775008316296,1.8849235773086548,6894000,0.0,0.0,0.0,0.007927296885659664,1.0,0.02401998323433007,0.9759800167656699,0.02401998323433007,0.020026223999246005,1.0009365479525132,0.14416586666080342,1.2259347049709917,0.09065988783203774,0.2800989821490846,-0.1289600108848199,0.10653024173186706,0.9519600335313398,5.649740792715745,1.7127119686560786,1.7127119686560786,0.09580921672439388,0.01713590449841992,-0.005535441413337715,6.0,0.1118854257231328,-0.02815253364663968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-13 ,1.9049432663055028,1.9243572494904169,1.8794630235811316,1.8897771835327148,5205000,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.001285825428709799,1.3838220021534269,0.08314123303464041,-0.08543933065429271,0.0854393304795215,0.47255914106205194,0.09623007945648368,-0.8793334378541886,1.0,6.384577579029326,1.7982232522338912,1.7982232522338912,0.049659834487484567,-0.023074691118454657,-0.02010529780843729,7.0,0.09168856936810106,-0.016675823724553056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-14 ,1.9419508875465523,1.9474109561824993,1.8946305819845,1.9310307502746584,6063000,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.010797079428390704,-0.8341254138588109,0.8341254127615106,-0.7853981830651681,0.7853981820651681,0.023522635117161506,-0.2245182529724452,0.7871661098883452,1.0,6.0414502123906,1.7592272346376057,1.7592272346376057,0.09317928645189585,0.021759725982205644,0.02241720855033015,8.0,0.07696677194726813,-0.01009842817751587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-15 ,1.933457532849668,1.9377036980992408,1.904943505883247,1.926783561706543,4302000,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.001100931311008147,-0.7853981855859341,0.785398184585934,-0.9888716694846682,0.9888716680888607,0.2266989153982579,0.10158814014054819,-0.9999999159523438,1.0,6.454405333383008,1.8059738801508092,1.8059738801508092,0.06475207226944978,-0.01421360709122304,-0.01798666653671434,7.0,0.06697969444541818,-0.007360898710416466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-18 ,1.985023388733417,2.0232434204170726,1.9832032942409432,2.0135374069213867,5875500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.022016948848979822,0.6022513102206801,0.7853982003605964,-0.5743155204297447,0.5743155192492179,-0.03552990126414295,-0.13111440833120042,0.9999999567434406,1.0,6.53090505853126,1.814396364679411,1.814396364679411,0.10414024824010863,0.019694087985329428,0.016953847538276234,8.0,-0.06663411660754767,-0.004993538750924974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
