Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Wd,Yd,Pd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id,W_0,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12,W_13,Ds
2016-05-26 ,14.920000076293944,15.0600004196167,14.68000030517578,14.93000030517578,192400,0.0,0.0,0.11999980926513494,1.0,0.0869563763143241,0.9130436236856759,0.0869563763143241,0.0003350160386612215,1.2376268203821725,0.18979267538630348,1.0183778951495595,0.04995839574038975,0.2733573314106854,-0.31975312564300395,-0.8829809759181543,0.8260872473713519,8.185146235473074,14.470769464585047,14.470769464585047,0.03124191621842778,-0.0008853987163789465,0.08068527035901599,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-27 ,14.899999618530272,15.140000343322754,14.850000381469728,14.970000267028809,230100,0.0,0.0,0.10999980926513495,1.0,0.09243677302401025,0.9075632269759898,0.09243677302401025,0.0013377913407203604,1.2383996672167161,0.35078117086540084,1.0183778951495595,0.09495170637766465,0.018740895081932923,-0.12730821816437624,0.5994561686915113,0.8151264539519796,8.876974882686511,14.897459743015418,14.897459743015418,0.004857504898232614,-0.013192205660097583,-0.006153403471859318,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-31 ,14.979999542236328,15.119999885559082,14.75,14.899999618530272,332700,0.0,0.0,0.09999980926513494,1.0,0.21739087167898025,0.782786347210709,0.21721365278929097,-0.0023435101696260593,1.031377827993689,0.15776873760703664,0.7853981646831644,0.0747268000767887,0.07428682960132463,0.02777296725969585,-0.9999997283570158,0.5655726944214181,8.807590483833692,14.855723872515226,14.855723872515226,0.0029759504052995654,-0.0009407772464665241,0.006125714206815529,1.0,0.33353031389911814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01 ,14.850000381469728,15.109999656677246,14.720000267028809,15.0600004196167,222700,0.0,0.0,0.08999980926513494,1.0,0.19565174304698457,0.8043482569530154,0.19565174304698457,0.005340480670317236,1.1902833743848606,1.0303824400471449,0.46364761260079085,0.96007420672743,-0.13175048047627974,-0.10301865503880218,0.99999986985931,0.6086965139060307,9.249680977566378,7.599943826281695,15.11788496185563,0.340032583495807,0.16852831654525371,0.08473454689586012,2.0,-0.3329861935861296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-02 ,14.970000267028809,15.100000381469728,14.760000228881836,15.0600004196167,242800,0.0,0.0,0.07999980926513495,1.0,0.19047570174521947,0.8095242982570469,0.19047570174295314,0.0,1.0303600035086797,0.7853981728976007,0.5070958130691378,0.896048415545573,0.29546154946751174,0.21360601497189574,-0.9999998127509723,0.6190485965140937,9.007236242858836,14.97521096161977,14.97521096161977,0.0056460187451611715,-0.1671932823753229,-0.1678607994602883,3.0,0.3341145312973367,-0.33325825374262386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-03 ,15.06999969482422,15.09000015258789,14.56999969482422,15.029999732971191,260500,0.0,0.0,0.14000057220458806,-1.0,0.2545464066431172,0.2544625080095564,0.7455374919904436,-0.0009970317877491803,1.1525995270322436,1.152572983672464,0.6435011136466087,0.5123905960550952,0.0,-0.14773077473375587,-0.9999989970239573,-0.4910749839808872,9.38728677341353,7.641140486736194,15.197720778915711,0.33270201686880485,0.16352799906182183,0.16536064071857237,2.0,0.19999999996,0.33355036244173314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-06 ,15.09000015258789,15.4399995803833,14.989999771118164,15.329999923706056,336100,0.0,0.0,0.13000057220458808,-1.0,0.14942596471842864,0.14942596471842864,0.8505740352815714,0.009881429319083814,1.4583666170314142,1.5031583153138417,0.43621432006888433,0.7853981637039,-0.05461979224500089,-0.027309896122500444,0.9999999080752418,-0.7011480705631428,9.66852128749609,7.7240473041327595,15.358415212651481,0.34181067041222063,0.0045543267717078895,-0.07948683614505697,3.0,-0.19991158038771767,-0.06705726566866835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-07 ,15.350000381469728,15.949999809265137,15.34000015258789,15.84000015258789,397000,0.0,0.0,0.12000057220458807,-1.0,0.08695692916895466,0.08695692916895466,0.9130430708310453,0.016361893732227167,1.4288983178700545,0.0444152958745982,1.2490450910168787,0.037020115925006335,0.5853831705319748,0.32000148138848783,0.24693763642413363,-0.8260861416620906,9.148849212997273,15.058864002725926,15.058864002725926,0.05057160791860044,-0.1456195312468101,-0.07508692900925899,4.0,0.2008607584250519,-0.19995579017385884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-08 ,15.84000015258789,16.1299991607666,15.829999923706056,16.040000915527344,215200,0.0,0.0,0.11000057220458806,-1.0,0.07051321145045249,0.07051321145045249,0.9294867885495475,0.0062735494428663545,-0.78539816487784,0.78539816387784,-0.9693413224156917,0.9693413210560478,0.7344749505535146,0.07454589001076994,-0.4456879313400587,-0.8589735770990949,8.51587880476881,14.677732191348928,14.677732191348928,0.08875413114160917,0.019091261611504363,0.08235539642915723,5.0,0.14386416486606107,0.2003861694063848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-09 ,16.0,16.059999465942383,15.850000381469728,15.989999771118164,223500,0.0,0.0,0.10000057220458806,-1.0,0.08771984714432793,0.08766439952784547,0.9123356004721545,-0.0015610722240798145,-1.2187530289414399,1.2187530271792366,-0.785398164917857,0.785398163917857,0.37070099588807903,-0.1818869773327178,-0.9999998723614344,-0.824671200944309,8.67806272415729,14.777200398848512,14.777200398848512,0.07887803316416105,-0.004938048988724061,-0.012014655300114212,4.0,0.11141653546445383,-0.02849829677949542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-10 ,15.81999969482422,15.850000381469728,15.399999618530272,15.40999984741211,263700,0.0,0.0,0.4200003051757848,-1.0,0.5316466233850938,0.529540180514861,0.4704598194851391,-0.018471335374277385,0.6659698427217252,0.785398167442917,-1.2220169745448035,1.2220169710119781,-0.1005630358636583,-0.23563201587586868,-0.8441452792443708,0.05908036102972186,9.38177609511672,15.19453914526688,15.19453914526688,0.014080542888439946,-0.03239874513786055,-0.013730348074568244,3.0,-0.1110341293317338,-0.01622381470080362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
