Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,λ,E_High,E_Low,Ö,Öd,Ödd,I,Im,Id
2016-03-31 ,34.7169174563368,35.00865497592263,34.600219268801986,34.8669548034668,5168400,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.002156352022960155,-0.7853981738927437,0.7853981728927437,-1.2489846867710799,1.248984684971153,0.0,-0.0020973117965689026,1.0,0.0,8216.350521209139,21.38211613709934,76.63069290018346,-0.14923675571308007,-0.0102461146380345,-0.011613712503058995,5.0,0.1429936048532683,-0.06647040762179389
2016-04-01 ,34.616894392064836,35.22537784505372,34.475194203425346,35.167030334472656,3972900,0.0,0.0,0.0983471585561,-1.0,0.07612066413524618,0.07612066413524618,0.9238793358647538,0.004284713063448102,-0.6947377978085749,0.6947377953495613,0.9652787507001831,0.7853981638202867,0.0,0.33043614394504506,-0.8477586717295076,0.0,18875.011360190165,28.222019556250643,101.1346282493848,-0.41816853993639475,-0.13446589211165733,-0.06210988873681141,6.0,0.11121680551795017,-0.02881665825660562
2016-04-04 ,35.29205797970454,35.56712432558319,35.14202063478876,35.275386810302734,4407800,0.0,0.0,0.0883471585561,-1.0,0.08090916878592093,0.08090916878592093,0.9190908312140791,0.0015382276790329413,-1.097201252025463,1.0972012504414967,-0.7853981646472685,0.7853981636472686,0.04484795463187525,-0.4716662995918856,-0.8381816624281582,0.9999999777024396,18075.54131944728,27.817459662295633,99.68523834510098,-0.4006552738760519,0.008756633030171435,0.07161126257091438,7.0,0.09108032355713933,-0.01588839966765907
2016-04-05 ,35.01698765881233,35.22537250205133,34.916963824373724,35.041996002197266,6582700,0.0,0.0,0.0783471585561,-1.0,0.07175107359550867,0.07164507649174724,0.9282489264044913,-0.003319105444066384,0.4068467059209763,1.1147236853995188,0.579397946755298,0.5880026041307783,0.013684000928371427,-0.999999794125754,-0.8566038499127441,-0.5324263109405356,35317.02249696769,34.781560909988855,34.781560909988855,0.007459840531632023,0.20405755720384194,0.09765046208683525,6.0,0.07697532753846699,-0.010068240980405423
2016-04-06 ,34.99198602127735,35.97556283485666,34.99198602127735,35.883872985839844,6261000,0.0,0.0,0.06834715855609999,-1.0,0.04555357738377835,0.04555357738377835,0.9544464226162217,0.01186981556453789,-0.46364760993400417,0.4636476091340042,1.373405192107291,1.3733926554954539,-0.06858824128077555,0.999999934162543,-0.9088928452324434,-0.9999999878452324,27451.83968248302,31.978369257454762,114.59247530369315,-0.5229329534503442,-0.2651963969909881,-0.23462697709741503,7.0,-0.07680943926796448,-0.007052498009336168
2016-04-07 ,35.56711923858856,35.767170063097446,35.20870027666429,35.51710891723633,4901300,0.0,0.0,0.058347158556099996,-1.0,0.05511733713928358,0.05499095397678013,0.9448826628607164,-0.005136681020736975,0.9150796092460838,0.7853981638203023,-0.8960661212209474,0.896066118781881,0.02713955993303846,-0.999999941198945,-0.8898917088839363,0.999999989553714,15340.076007736252,26.335480626900516,94.37589836894793,-0.33908689325106334,0.09192303009964042,0.17855971354531427,6.0,0.07731943626269783,-0.07689238340321573
2016-04-08 ,35.65882109722451,35.78385330218603,35.108685118855725,35.31707000732422,4920300,0.0,0.0,0.0483471585561,-1.0,0.04567088961668674,0.04561352980021077,0.9543291103833133,-0.0028240450154035637,0.7853981655055606,1.398475444002559,0.764160775027632,1.023983362994745,-0.028474563955609808,0.2905056277943436,-0.9087155805831024,-0.9999999820189565,13050.99830455834,24.953008992775093,89.42313091165762,-0.2908204831211271,0.024133205064968105,-0.03389491251733616,5.0,-0.07674669354654932,0.07706443776533115
2016-04-11 ,35.40040700528545,35.74215791306311,35.39206983355709,35.40874099731445,3948800,0.0,0.0,0.03834715855609999,-1.0,0.03898745682764901,0.03898745682764901,0.961012543172351,0.0012961461832402597,1.258619980149549,0.7853981638649679,-0.4277532092691516,0.4277532078924969,-0.040986811146949104,0.9999997572928756,-0.9220250863447019,-0.18013244040637935,12258.146211698386,24.436557773465196,87.5729426720564,-0.2673174680331708,0.011751507543978162,-0.006190848760494971,6.0,-0.09079491469826675,-0.07703306490462358
2016-04-12 ,35.308722827475016,35.9005349266297,35.308722827475016,35.6921501159668,5100200,0.0,0.0,0.1066816244436717,1.0,0.13472456947810785,0.8652754305218922,0.13472456947810785,0.003986013595818415,1.2119653193715145,0.30585380147523267,0.5404302952137975,0.46364761060042914,0.02459299096953824,0.5092361866837215,0.7305508610437843,0.9999999847514028,12380.46684363714,24.517661014680556,87.86349446956868,-0.2626582833560245,0.002329592338573161,-0.004710957602702501,7.0,0.09096114409204802,-0.007024110575858715
2016-04-13 ,35.95212877280542,36.4133754228733,35.792789951618346,36.35467147827149,4140700,0.26,0.0,0.09668162444367169,1.0,0.07410312174924329,0.9258968782507567,0.07410312174924329,0.009195705620935784,-0.7853981648724103,0.7853981638724103,-0.8142527805188445,0.8142527794611675,0.12356747845512786,0.3952209529144579,0.8517937565015135,0.6680222275341272,13290.17734594909,25.10468253656225,89.96650424540807,-0.2679231954249693,-0.0026324560344724024,-0.0024810241865227817,8.0,0.07705793170211121,0.09087802939515738
